Tempo,Pontos
0.007,16384
0.009,16384
0.007,16384
0.007,16384
0.009,16384
0.007,16384
0.007,16384
0.009,16384
0.006,16384
0.006,16384
0.008,16384
0.008,16384
0.006,16384
0.005,16384
0.005,16384
0.009,16384
0.007,16384
0.006,16384
0.009,16384
0.007,16384
0.009,16384
0.008,16384
0.008,16384
0.007,16384
0.010,16384
0.007,16384
0.007,16384
0.007,16384
0.008,16384
0.007,16384
0.006,16384
0.005,16384
0.007,16384
0.007,16384
0.005,16384
0.007,16384
0.006,16384
0.007,16384
0.007,16384
0.008,16384
0.005,16384
0.005,16384
0.007,16384
0.006,16384
0.007,16384
0.006,16384
0.007,16384
0.007,16384
0.007,16384
0.007,16384
0.022,65536
0.022,65536
0.023,65536
0.022,65536
0.025,65536
0.020,65536
0.022,65536
0.024,65536
0.028,65536
0.017,65536
0.019,65536
0.021,65536
0.031,65536
0.028,65536
0.021,65536
0.022,65536
0.029,65536
0.021,65536
0.035,65536
0.017,65536
0.019,65536
0.022,65536
0.024,65536
0.031,65536
0.028,65536
0.027,65536
0.022,65536
0.026,65536
0.022,65536
0.025,65536
0.023,65536
0.032,65536
0.025,65536
0.028,65536
0.026,65536
0.028,65536
0.029,65536
0.035,65536
0.026,65536
0.026,65536
0.026,65536
0.020,65536
0.025,65536
0.028,65536
0.021,65536
0.023,65536
0.033,65536
0.023,65536
0.024,65536
0.022,65536
0.072,262144
0.071,262144
0.095,262144
0.066,262144
0.067,262144
0.075,262144
0.070,262144
0.071,262144
0.070,262144
0.068,262144
0.067,262144
0.069,262144
0.075,262144
0.072,262144
0.077,262144
0.072,262144
0.063,262144
0.063,262144
0.070,262144
0.067,262144
0.075,262144
0.074,262144
0.070,262144
0.081,262144
0.083,262144
0.067,262144
0.073,262144
0.073,262144
0.071,262144
0.066,262144
0.066,262144
0.072,262144
0.068,262144
0.084,262144
0.085,262144
0.065,262144
0.065,262144
0.067,262144
0.067,262144
0.071,262144
0.066,262144
0.069,262144
0.082,262144
0.073,262144
0.070,262144
0.069,262144
0.071,262144
0.072,262144
0.073,262144
0.066,262144
0.270,1048576
0.271,1048576
0.260,1048576
0.266,1048576
0.268,1048576
0.260,1048576
0.270,1048576
0.260,1048576
0.271,1048576
0.266,1048576
0.272,1048576
0.265,1048576
0.268,1048576
0.268,1048576
0.253,1048576
0.257,1048576
0.273,1048576
0.316,1048576
0.272,1048576
0.262,1048576
0.267,1048576
0.259,1048576
0.255,1048576
0.264,1048576
0.266,1048576
0.256,1048576
0.268,1048576
0.255,1048576
0.259,1048576
0.265,1048576
0.255,1048576
0.262,1048576
0.262,1048576
0.260,1048576
0.269,1048576
0.270,1048576
0.272,1048576
0.280,1048576
0.261,1048576
0.257,1048576
0.263,1048576
0.258,1048576
0.283,1048576
0.270,1048576
0.264,1048576
0.259,1048576
0.283,1048576
0.269,1048576
0.255,1048576
0.263,1048576
1.049,4194304
1.060,4194304
1.037,4194304
1.065,4194304
1.043,4194304
1.043,4194304
1.064,4194304
1.036,4194304
1.036,4194304
1.038,4194304
1.036,4194304
1.023,4194304
1.073,4194304
1.015,4194304
1.019,4194304
1.022,4194304
1.057,4194304
1.029,4194304
1.037,4194304
1.052,4194304
1.041,4194304
1.082,4194304
1.040,4194304
1.043,4194304
1.046,4194304
1.044,4194304
1.033,4194304
1.047,4194304
1.032,4194304
1.068,4194304
1.042,4194304
1.074,4194304
1.014,4194304
1.048,4194304
1.032,4194304
1.029,4194304
1.056,4194304
1.053,4194304
1.051,4194304
1.036,4194304
1.022,4194304
1.029,4194304
1.024,4194304
1.035,4194304
1.025,4194304
1.036,4194304
1.036,4194304
1.061,4194304
1.052,4194304
1.028,4194304
