Tempo,Pontos
0.040,16384
0.040,16384
0.039,16384
0.039,16384
0.040,16384
0.039,16384
0.040,16384
0.039,16384
0.039,16384
0.040,16384
0.040,16384
0.040,16384
0.039,16384
0.039,16384
0.040,16384
0.039,16384
0.040,16384
0.039,16384
0.040,16384
0.039,16384
0.040,16384
0.040,16384
0.039,16384
0.039,16384
0.039,16384
0.039,16384
0.039,16384
0.039,16384
0.040,16384
0.039,16384
0.040,16384
0.039,16384
0.039,16384
0.039,16384
0.039,16384
0.040,16384
0.039,16384
0.040,16384
0.039,16384
0.039,16384
0.039,16384
0.039,16384
0.040,16384
0.039,16384
0.040,16384
0.039,16384
0.040,16384
0.039,16384
0.040,16384
0.039,16384
0.156,65536
0.155,65536
0.156,65536
0.156,65536
0.155,65536
0.156,65536
0.156,65536
0.155,65536
0.161,65536
0.155,65536
0.155,65536
0.156,65536
0.156,65536
0.155,65536
0.156,65536
0.157,65536
0.156,65536
0.155,65536
0.156,65536
0.156,65536
0.156,65536
0.156,65536
0.155,65536
0.156,65536
0.156,65536
0.156,65536
0.160,65536
0.156,65536
0.157,65536
0.157,65536
0.161,65536
0.160,65536
0.156,65536
0.178,65536
0.156,65536
0.156,65536
0.155,65536
0.156,65536
0.161,65536
0.155,65536
0.155,65536
0.161,65536
0.155,65536
0.156,65536
0.156,65536
0.156,65536
0.156,65536
0.161,65536
0.155,65536
0.156,65536
0.621,262144
0.621,262144
0.620,262144
0.620,262144
0.621,262144
0.621,262144
0.641,262144
0.624,262144
0.620,262144
0.621,262144
0.622,262144
0.620,262144
0.641,262144
0.620,262144
0.621,262144
0.621,262144
0.625,262144
0.620,262144
0.620,262144
0.621,262144
0.625,262144
0.621,262144
0.620,262144
0.621,262144
0.620,262144
0.620,262144
0.641,262144
0.623,262144
0.621,262144
0.624,262144
0.620,262144
0.620,262144
0.620,262144
0.645,262144
0.623,262144
0.622,262144
0.624,262144
0.641,262144
0.621,262144
0.621,262144
0.620,262144
0.620,262144
0.622,262144
0.620,262144
0.620,262144
0.621,262144
0.620,262144
0.620,262144
0.641,262144
0.620,262144
2.477,1048576
2.478,1048576
2.478,1048576
2.480,1048576
2.480,1048576
2.479,1048576
2.479,1048576
2.560,1048576
2.483,1048576
2.484,1048576
2.481,1048576
2.479,1048576
2.478,1048576
2.558,1048576
2.482,1048576
2.479,1048576
2.481,1048576
2.479,1048576
2.478,1048576
2.482,1048576
2.483,1048576
2.484,1048576
2.560,1048576
2.487,1048576
2.478,1048576
2.479,1048576
2.486,1048576
2.479,1048576
2.482,1048576
2.558,1048576
2.481,1048576
2.479,1048576
2.480,1048576
2.481,1048576
2.478,1048576
2.479,1048576
2.478,1048576
2.480,1048576
2.482,1048576
2.477,1048576
2.562,1048576
2.479,1048576
2.481,1048576
2.479,1048576
2.561,1048576
2.484,1048576
2.479,1048576
2.558,1048576
2.481,1048576
2.561,1048576
9.871,4194304
9.872,4194304
9.876,4194304
9.876,4194304
9.877,4194304
9.870,4194304
9.869,4194304
9.871,4194304
9.871,4194304
9.875,4194304
9.872,4194304
9.872,4194304
10.197,4194304
9.883,4194304
10.195,4194304
9.871,4194304
9.876,4194304
9.871,4194304
9.877,4194304
10.196,4194304
9.874,4194304
9.871,4194304
9.878,4194304
9.871,4194304
9.871,4194304
9.876,4194304
10.206,4194304
9.878,4194304
9.870,4194304
9.875,4194304
9.873,4194304
9.874,4194304
9.876,4194304
9.870,4194304
9.875,4194304
9.873,4194304
9.874,4194304
9.881,4194304
9.877,4194304
9.877,4194304
9.872,4194304
9.870,4194304
9.877,4194304
9.872,4194304
9.873,4194304
9.874,4194304
9.871,4194304
9.882,4194304
9.878,4194304
9.874,4194304
