TempoAlocacao,Tempo,Pontos
0.021393,0.014109,16641
0.02029,0.019818,16641
0.017732,0.015255,16641
0.022906,0.012131,16641
0.024897,0.014679,16641
0.021238,0.016643,16641
0.026936,0.015806,16641
0.023878,0.011248,16641
0.018109,0.013799,16641
0.019834,0.013284,16641
0.017532,0.011581,16641
0.021215,0.022233,16641
0.019235,0.011719,16641
0.017807,0.015273,16641
0.018876,0.011431,16641
0.018288,0.01137,16641
0.01733,0.011315,16641
0.022285,0.014208,16641
0.023387,0.013291,16641
0.017072,0.013157,16641
0.017582,0.014241,16641
0.017506,0.012456,16641
0.020844,0.01332,16641
0.024297,0.017933,16641
0.020214,0.016318,16641
0.018619,0.014891,16641
0.024063,0.013833,16641
0.019048,0.015278,16641
0.020184,0.014461,16641
0.017709,0.014556,16641
0.017774,0.010018,16641
0.020226,0.01129,16641
0.018572,0.012171,16641
0.017653,0.013944,16641
0.017274,0.011752,16641
0.022987,0.016865,16641
0.018747,0.012883,16641
0.020552,0.016668,16641
0.017777,0.011789,16641
0.018267,0.022466,16641
0.027556,0.020066,16641
0.018852,0.012256,16641
0.017792,0.00988,16641
0.023912,0.025814,16641
0.020037,0.011308,16641
0.019343,0.013904,16641
0.020373,0.013702,16641
0.020636,0.013013,16641
0.018006,0.021843,16641
0.019575,0.013847,16641
0.099067,0.05464,66049
0.104815,0.054917,66049
0.097466,0.054682,66049
0.100486,0.064627,66049
0.104897,0.063081,66049
0.098676,0.059345,66049
0.12549,0.051456,66049
0.117187,0.048194,66049
0.106517,0.052192,66049
0.100766,0.050249,66049
0.09917,0.065642,66049
0.116441,0.053869,66049
0.101114,0.057177,66049
0.11196,0.054623,66049
0.105176,0.051589,66049
0.113236,0.054113,66049
0.14169,0.069854,66049
0.118686,0.053691,66049
0.136635,0.04692,66049
0.120832,0.05808,66049
0.123348,0.058247,66049
0.10364,0.057577,66049
0.119126,0.062048,66049
0.121785,0.058278,66049
0.116963,0.05396,66049
0.115179,0.05252,66049
0.136294,0.058855,66049
0.11694,0.050212,66049
0.117544,0.056077,66049
0.114743,0.045692,66049
0.102709,0.052123,66049
0.113867,0.051421,66049
0.137792,0.063218,66049
0.146601,0.055554,66049
0.115989,0.073074,66049
0.095196,0.051206,66049
0.101849,0.056333,66049
0.119011,0.059676,66049
0.118287,0.058099,66049
0.116406,0.049776,66049
0.11333,0.053861,66049
0.151179,0.099019,66049
0.102038,0.053054,66049
0.123092,0.067361,66049
0.114677,0.056042,66049
0.121609,0.055842,66049
0.125556,0.057819,66049
0.116953,0.048875,66049
0.10862,0.063773,66049
0.105089,0.049793,66049
0.565532,0.202089,263169
0.528949,0.209734,263169
0.625285,0.229578,263169
0.553893,0.216242,263169
0.511005,0.224038,263169
0.555798,0.214355,263169
0.648936,0.289213,263169
0.50549,0.223374,263169
0.504008,0.216886,263169
0.502835,0.20413,263169
0.560146,0.213309,263169
0.509271,0.1992,263169
0.510909,0.208325,263169
0.639545,0.208197,263169
0.66412,0.197895,263169
0.508124,0.183907,263169
0.550651,0.197335,263169
0.531298,0.2127,263169
0.814575,0.23504,263169
0.495285,0.210608,263169
0.495173,0.234526,263169
0.554227,0.264861,263169
0.502489,0.225543,263169
0.655016,0.193579,263169
0.497401,0.229825,263169
0.639846,0.213949,263169
0.577395,0.210192,263169
0.636693,0.20012,263169
0.563547,0.197255,263169
0.629459,0.205198,263169
0.550756,0.231032,263169
0.503727,0.195533,263169
0.544887,0.214924,263169
0.498894,0.199398,263169
0.480148,0.205375,263169
0.477568,0.200681,263169
0.528812,0.194353,263169
0.568135,0.201946,263169
0.544963,0.212503,263169
0.573975,0.200921,263169
0.666151,0.221997,263169
0.570151,0.184642,263169
0.531922,0.169393,263169
0.502536,0.202398,263169
0.507618,0.203111,263169
0.499471,0.230821,263169
0.485587,0.203813,263169
0.543244,0.222209,263169
0.516407,0.223465,263169
0.557999,0.186767,263169
2.548807,0.676753,1050625
2.285278,0.614656,1050625
2.099395,0.795647,1050625
2.628836,0.698246,1050625
2.203397,0.682354,1050625
2.449919,0.725985,1050625
2.42582,0.709448,1050625
2.614145,0.719542,1050625
2.113885,0.785902,1050625
2.1264,0.759008,1050625
2.376951,0.676964,1050625
2.131361,0.651944,1050625
2.406913,0.685826,1050625
2.545651,0.696373,1050625
2.164529,0.70578,1050625
2.461083,0.70291,1050625
2.140861,0.786212,1050625
2.63148,0.756899,1050625
2.439714,0.67139,1050625
2.138212,0.786106,1050625
2.063519,0.770577,1050625
2.442659,0.679546,1050625
2.427104,0.702558,1050625
2.18175,0.793708,1050625
2.646001,0.69762,1050625
2.809321,0.689777,1050625
2.04227,0.76487,1050625
2.347144,0.682299,1050625
2.05535,0.753933,1050625
2.171749,0.666761,1050625
2.595682,0.686452,1050625
2.478503,0.688771,1050625
2.273269,0.696724,1050625
2.535862,0.716226,1050625
2.339591,0.684402,1050625
2.778754,0.75021,1050625
2.510676,0.805444,1050625
2.628326,0.6431,1050625
2.692887,0.670281,1050625
2.450983,0.689615,1050625
2.195306,0.753642,1050625
2.70837,0.759614,1050625
2.470244,0.703283,1050625
2.396222,0.679219,1050625
2.431691,0.740602,1050625
2.764408,0.789612,1050625
2.076278,0.725972,1050625
2.626423,0.793523,1050625
2.124278,0.737232,1050625
2.459021,0.651079,1050625
8.016115,3.696484,4198401
7.018943,4.127359,4198401
7.316914,3.627344,4198401
7.252063,3.775475,4198401
7.107347,4.039805,4198401
7.344508,3.874542,4198401
8.215915,3.8001,4198401
7.957539,3.872004,4198401
7.933554,3.429755,4198401
7.316746,3.895944,4198401
8.288423,3.671765,4198401
6.846494,3.762435,4198401
7.900636,3.894815,4198401
6.999944,4.333465,4198401
7.08029,3.669274,4198401
7.001154,3.697154,4198401
8.416498,4.320502,4198401
8.532745,3.848091,4198401
8.1341,3.961311,4198401
7.709629,3.820845,4198401
6.704925,4.544973,4198401
7.878189,3.818339,4198401
8.308831,3.964732,4198401
7.168863,3.638141,4198401
7.176701,4.07746,4198401
8.748101,3.504262,4198401
7.022168,3.42876,4198401
