TempoAlocacao,Tempo,Pontos
0.02117,0.022252,16641
0.021506,0.022111,16641
0.021663,0.022061,16641
0.021327,0.022237,16641
0.020822,0.022181,16641
0.020829,0.022133,16641
0.021097,0.022119,16641
0.021842,0.021997,16641
0.021364,0.027988,16641
0.02109,0.022222,16641
0.021248,0.022143,16641
0.021197,0.023792,16641
0.015553,0.021392,16641
0.018067,0.021837,16641
0.01532,0.021265,16641
0.021229,0.027194,16641
0.021543,0.022022,16641
0.021503,0.022086,16641
0.021783,0.022053,16641
0.020465,0.02225,16641
0.020732,0.027133,16641
0.021823,0.023775,16641
0.021084,0.022175,16641
0.02026,0.023708,16641
0.02088,0.023751,16641
0.020928,0.026621,16641
0.021632,0.023656,16641
0.015845,0.021469,16641
0.021258,0.022127,16641
0.021385,0.027294,16641
0.015637,0.021375,16641
0.021426,0.027138,16641
0.021642,0.023753,16641
0.015619,0.023363,16641
0.021551,0.021456,16641
0.021903,0.022178,16641
0.020778,0.022249,16641
0.017508,0.021536,16641
0.021292,0.022169,16641
0.02099,0.022029,16641
0.020855,0.022063,16641
0.021375,0.022217,16641
0.02148,0.022074,16641
0.021471,0.022173,16641
0.021771,0.027886,16641
0.021406,0.023852,16641
0.02157,0.022087,16641
0.020639,0.022225,16641
0.02156,0.022217,16641
0.017429,0.021413,16641
0.102043,0.089833,66049
0.074228,0.086275,66049
0.101884,0.089932,66049
0.080331,0.085931,66049
0.100975,0.089532,66049
0.100447,0.08906,66049
0.102189,0.090095,66049
0.101733,0.089611,66049
0.096953,0.104057,66049
0.102757,0.090826,66049
0.102402,0.089416,66049
0.101813,0.089886,66049
0.081485,0.094438,66049
0.103169,0.08973,66049
0.100468,0.089427,66049
0.10134,0.089414,66049
0.09895,0.08892,66049
0.103015,0.090185,66049
0.078314,0.08562,66049
0.101415,0.089074,66049
0.102976,0.090432,66049
0.099475,0.104365,66049
0.073287,0.092822,66049
0.101326,0.089529,66049
0.101324,0.089503,66049
0.101532,0.089872,66049
0.100238,0.089209,66049
0.098324,0.088848,66049
0.101371,0.089644,66049
0.099967,0.104747,66049
0.103541,0.089788,66049
0.096243,0.104032,66049
0.099745,0.089604,66049
0.098742,0.089205,66049
0.100974,0.08967,66049
0.097174,0.088995,66049
0.103439,0.090004,66049
0.098987,0.10455,66049
0.102286,0.104169,66049
0.102048,0.08954,66049
0.102128,0.104111,66049
0.075522,0.085815,66049
0.101598,0.089803,66049
0.074452,0.085955,66049
0.075126,0.085853,66049
0.097921,0.089321,66049
0.102605,0.089335,66049
0.100273,0.104215,66049
0.100879,0.089143,66049
0.09897,0.08873,66049
0.470797,0.385753,263169
0.464074,0.444126,263169
0.474451,0.384412,263169
0.477476,0.450362,263169
0.361405,0.356531,263169
0.442243,0.442174,263169
0.471633,0.443392,263169
0.446341,0.377828,263169
0.362966,0.357919,263169
0.4738,0.448405,263169
0.448017,0.441806,263169
0.455754,0.38198,263169
0.534444,0.386543,263169
0.446476,0.37721,263169
0.361749,0.357818,263169
0.45539,0.381587,263169
0.446235,0.444331,263169
0.361233,0.358569,263169
0.47516,0.450714,263169
0.445098,0.442634,263169
0.459333,0.450386,263169
0.447011,0.444133,263169
0.456123,0.441967,263169
0.461489,0.444491,263169
0.362552,0.358074,263169
0.468561,0.381251,263169
0.473633,0.443019,263169
0.469647,0.384536,263169
0.461307,0.38126,263169
0.361806,0.35892,263169
0.360151,0.358998,263169
0.476868,0.383103,263169
0.468535,0.381679,263169
0.47064,0.443273,263169
0.362191,0.384694,263169
0.475479,0.443257,263169
0.450956,0.386284,263169
0.35991,0.383774,263169
0.463066,0.449169,263169
0.459237,0.449064,263169
0.471197,0.442984,263169
0.446512,0.379632,263169
0.361938,0.365323,263169
0.476666,0.382666,263169
0.472121,0.442055,263169
0.475508,0.382891,263169
0.483525,0.444123,263169
0.444972,0.448671,263169
0.471461,0.382753,263169
0.477752,0.384792,263169
1.790493,1.557774,1050625
1.826093,1.564287,1050625
1.747519,1.562561,1050625
1.403355,1.503105,1050625
1.78521,1.572469,1050625
1.807119,1.571594,1050625
1.746389,1.582402,1050625
1.834337,1.565984,1050625
1.835491,1.502389,1050625
1.81096,1.562306,1050625
1.730125,1.570385,1050625
1.74257,1.575006,1050625
1.816788,1.568453,1050625
1.821917,1.57195,1050625
1.790614,1.564206,1050625
1.731811,1.570516,1050625
1.749328,1.569865,1050625
1.712434,1.565648,1050625
1.80927,1.570299,1050625
1.438699,1.50156,1050625
1.764338,1.559231,1050625
1.402487,1.501267,1050625
1.712272,1.561944,1050625
1.702418,1.567092,1050625
1.789677,1.568129,1050625
1.811099,1.568104,1050625
1.814162,1.566437,1050625
1.832449,1.563749,1050625
1.749466,1.565177,1050625
1.40637,1.516106,1050625
1.79324,1.567218,1050625
1.402564,1.507065,1050625
1.396647,1.504994,1050625
1.409814,1.521939,1050625
1.830632,1.500385,1050625
1.813589,1.55829,1050625
1.803363,1.592085,1050625
1.701219,1.557759,1050625
1.424891,1.501759,1050625
1.774848,1.560826,1050625
1.401213,1.501921,1050625
1.791354,1.569241,1050625
1.40155,1.49991,1050625
1.404627,1.502538,1050625
1.398254,1.503534,1050625
1.399077,1.50346,1050625
1.705981,1.55934,1050625
1.749027,1.560214,1050625
1.747229,1.563401,1050625
1.800872,1.498461,1050625
7.586387,5.321091,4198401
10.063409,5.568822,4198401
10.134003,5.554383,4198401
7.540559,5.303378,4198401
7.639334,5.314693,4198401
10.106935,5.557887,4198401
9.848407,5.543543,4198401
10.201577,5.527629,4198401
8.079259,5.308871,4198401
8.03166,5.345077,4198401
10.215057,5.566576,4198401
7.56531,5.372835,4198401
7.617248,5.40223,4198401
8.045576,5.378289,4198401
7.541561,5.346773,4198401
9.895161,5.54692,4198401
10.316703,5.568107,4198401
7.718107,5.305603,4198401
10.074075,5.569543,4198401
9.670543,5.578381,4198401
7.452663,5.323915,4198401
10.36323,5.580905,4198401
9.756726,5.523232,4198401
7.999274,5.468563,4198401
7.507558,5.416988,4198401
10.31843,5.58062,4198401
7.599971,5.312656,4198401
7.587369,5.37076,4198401
10.13891,5.572168,4198401
7.759627,5.336284,4198401
9.762283,5.56802,4198401
9.88924,5.591963,4198401
9.920791,5.584111,4198401
7.63094,5.331694,4198401
10.143324,5.578312,4198401
9.714462,5.562058,4198401
10.186506,5.545395,4198401
10.149975,5.57963,4198401
10.284811,5.564303,4198401
7.545821,5.349747,4198401
7.653344,5.351257,4198401
9.61722,5.563845,4198401
9.839265,5.566626,4198401
9.724177,5.565107,4198401
7.796391,5.427836,4198401
10.125348,5.589382,4198401
9.79224,5.568967,4198401
10.361608,5.563364,4198401
8.619406,5.379623,4198401
9.859425,5.577474,4198401
