TempoAlocacao,Tempo,Pontos,Nucleos
0.004402,0.024362,16641,2
0.004679,0.02628,16641,2
0.004393,0.026442,16641,2
0.004189,0.024449,16641,2
0.004244,0.026645,16641,2
0.004292,0.026624,16641,2
0.004151,0.024302,16641,2
0.004608,0.026634,16641,2
0.004333,0.026893,16641,2
0.004555,0.026895,16641,2
0.004522,0.027693,16641,2
0.004464,0.024358,16641,2
0.004152,0.024318,16641,2
0.004605,0.027072,16641,2
0.004523,0.025957,16641,2
0.00421,0.026898,16641,2
0.004483,0.026417,16641,2
0.004533,0.026594,16641,2
0.00433,0.024482,16641,2
0.004184,0.024474,16641,2
0.004611,0.026512,16641,2
0.004703,0.027117,16641,2
0.004532,0.026488,16641,2
0.004576,0.026864,16641,2
0.004523,0.026922,16641,2
0.004497,0.0266,16641,2
0.004545,0.026658,16641,2
0.004486,0.026178,16641,2
0.004489,0.026826,16641,2
0.004502,0.02647,16641,2
0.004219,0.026446,16641,2
0.004245,0.026132,16641,2
0.004496,0.02671,16641,2
0.004563,0.026803,16641,2
0.004462,0.027713,16641,2
0.0045,0.026187,16641,2
0.004393,0.024416,16641,2
0.004569,0.026195,16641,2
0.004198,0.02416,16641,2
0.004124,0.024828,16641,2
0.004265,0.026252,16641,2
0.004288,0.026818,16641,2
0.004551,0.026248,16641,2
0.004461,0.026587,16641,2
0.004073,0.024371,16641,2
0.004598,0.026205,16641,2
0.004211,0.026167,16641,2
0.004363,0.026657,16641,2
0.004317,0.026516,16641,2
0.004278,0.026412,16641,2
0.032528,0.103938,66049,2
0.032556,0.103345,66049,2
0.031685,0.101997,66049,2
0.030957,0.102443,66049,2
0.031487,0.102033,66049,2
0.030884,0.101977,66049,2
0.031286,0.10209,66049,2
0.021493,0.094705,66049,2
0.032535,0.102685,66049,2
0.031717,0.103011,66049,2
0.033019,0.103716,66049,2
0.031363,0.103166,66049,2
0.033847,0.103618,66049,2
0.031719,0.102685,66049,2
0.031027,0.102112,66049,2
0.022281,0.095334,66049,2
0.022124,0.095033,66049,2
0.032319,0.103859,66049,2
0.034282,0.104422,66049,2
0.032867,0.103137,66049,2
0.032084,0.10197,66049,2
0.030873,0.101921,66049,2
0.033509,0.103086,66049,2
0.021626,0.095029,66049,2
0.033409,0.103374,66049,2
0.031691,0.101704,66049,2
0.030685,0.102309,66049,2
0.032143,0.102139,66049,2
0.030567,0.102378,66049,2
0.022201,0.094622,66049,2
0.030373,0.102497,66049,2
0.03427,0.103521,66049,2
0.031278,0.101868,66049,2
0.033692,0.103936,66049,2
0.030514,0.101917,66049,2
0.030523,0.101017,66049,2
0.032837,0.106577,66049,2
0.030475,0.101724,66049,2
0.032395,0.103169,66049,2
0.030612,0.102674,66049,2
0.021519,0.094658,66049,2
0.03099,0.102477,66049,2
0.032328,0.103308,66049,2
0.032912,0.104344,66049,2
0.031067,0.101514,66049,2
0.03149,0.102421,66049,2
0.031048,0.103529,66049,2
0.031539,0.101648,66049,2
0.032412,0.103704,66049,2
0.031414,0.103485,66049,2
0.147307,0.396618,263169,2
0.16661,0.400422,263169,2
0.159035,0.397124,263169,2
0.157123,0.396872,263169,2
0.147809,0.39811,263169,2
0.166853,0.399239,263169,2
0.150739,0.398166,263169,2
0.165997,0.396892,263169,2
0.162644,0.397473,263169,2
0.147283,0.397183,263169,2
0.166048,0.398594,263169,2
0.139826,0.396671,263169,2
0.157643,0.396128,263169,2
0.164778,0.399432,263169,2
0.159246,0.399255,263169,2
0.15743,0.398623,263169,2
0.14812,0.398084,263169,2
0.092948,0.382901,263169,2
0.152487,0.399433,263169,2
0.166119,0.398132,263169,2
0.161796,0.397181,263169,2
0.148001,0.397227,263169,2
0.092931,0.385892,263169,2
0.093531,0.382724,263169,2
0.165034,0.399208,263169,2
0.147869,0.399071,263169,2
0.158843,0.396992,263169,2
0.146452,0.397952,263169,2
0.167793,0.396333,263169,2
0.167306,0.398254,263169,2
0.15586,0.395829,263169,2
0.146766,0.395834,263169,2
0.153937,0.399652,263169,2
0.094316,0.384042,263169,2
0.093941,0.383587,263169,2
0.165813,0.396042,263169,2
0.164839,0.395929,263169,2
0.166669,0.398049,263169,2
0.092968,0.413325,263169,2
0.150446,0.397639,263169,2
0.148184,0.398481,263169,2
0.161306,0.39796,263169,2
0.146625,0.396784,263169,2
0.167197,0.3983,263169,2
0.149437,0.396447,263169,2
0.145173,0.39852,263169,2
0.165724,0.396924,263169,2
0.147072,0.399706,263169,2
0.093513,0.381716,263169,2
0.167706,0.398057,263169,2
0.720129,1.66406,1050625,2
0.634342,1.61864,1050625,2
0.636029,1.636293,1050625,2
0.42188,1.527807,1050625,2
0.707316,1.591049,1050625,2
0.69331,1.589671,1050625,2
0.647562,1.636963,1050625,2
0.421296,1.535271,1050625,2
0.421194,1.600558,1050625,2
0.422559,1.546922,1050625,2
0.7043,1.660436,1050625,2
0.418065,1.528497,1050625,2
0.646118,1.634639,1050625,2
0.649346,1.654323,1050625,2
0.418151,1.596031,1050625,2
0.613657,1.607973,1050625,2
0.647667,1.659348,1050625,2
0.41855,1.529291,1050625,2
0.648459,1.590879,1050625,2
0.419697,1.587114,1050625,2
0.645302,1.572877,1050625,2
0.710091,1.663249,1050625,2
0.699462,1.632664,1050625,2
0.421787,1.52773,1050625,2
0.648171,1.597669,1050625,2
0.689827,1.656576,1050625,2
0.721319,1.660847,1050625,2
0.647518,1.652074,1050625,2
0.68133,1.596132,1050625,2
0.642164,1.5735,1050625,2
0.418557,1.531675,1050625,2
0.67173,1.644569,1050625,2
0.628728,1.643811,1050625,2
0.662411,1.654572,1050625,2
0.675928,1.587129,1050625,2
0.679637,1.590439,1050625,2
0.623459,1.589606,1050625,2
0.654373,1.639697,1050625,2
0.41683,1.537009,1050625,2
0.422348,1.530231,1050625,2
0.690622,1.644046,1050625,2
0.699916,1.581767,1050625,2
0.707238,1.57387,1050625,2
0.419668,1.528651,1050625,2
0.419753,1.531464,1050625,2
0.623049,1.573628,1050625,2
0.656105,1.630263,1050625,2
0.638165,1.633162,1050625,2
0.711192,1.658099,1050625,2
0.682601,1.645329,1050625,2
2.788509,6.283918,4198401,2
2.464042,6.337249,4198401,2
1.569388,6.051742,4198401,2
1.582043,6.063008,4198401,2
1.585879,6.052018,4198401,2
1.587902,6.056085,4198401,2
2.473665,6.281515,4198401,2
2.501231,6.263796,4198401,2
2.545423,6.288095,4198401,2
2.752702,6.289412,4198401,2
2.71422,6.302262,4198401,2
1.583002,6.076939,4198401,2
2.462894,6.297355,4198401,2
2.71781,6.341696,4198401,2
2.490075,6.35736,4198401,2
2.427033,6.278485,4198401,2
2.695,6.259472,4198401,2
2.715813,6.273017,4198401,2
1.565895,6.106873,4198401,2
2.476842,6.274177,4198401,2
2.475798,6.270451,4198401,2
2.642381,6.273747,4198401,2
1.573732,6.111532,4198401,2
2.820545,6.28099,4198401,2
1.593105,6.13282,4198401,2
2.402121,6.278857,4198401,2
1.57485,6.133479,4198401,2
2.572949,6.277839,4198401,2
2.755878,6.285279,4198401,2
2.559006,6.245337,4198401,2
2.512825,6.288075,4198401,2
2.497345,6.247454,4198401,2
2.718054,6.332068,4198401,2
1.587435,6.118427,4198401,2
2.488213,6.346415,4198401,2
2.526371,6.341887,4198401,2
2.700239,6.258864,4198401,2
2.610021,6.280021,4198401,2
2.802059,6.278307,4198401,2
2.609606,6.273176,4198401,2
2.787197,6.281169,4198401,2
1.571519,6.136918,4198401,2
2.470336,6.363131,4198401,2
2.710577,6.269384,4198401,2
2.421225,6.284004,4198401,2
2.571039,6.287784,4198401,2
2.75971,6.338032,4198401,2
2.702448,6.295422,4198401,2
2.46984,6.278175,4198401,2
2.474518,6.27236,4198401,2

0.004747,0.026419,16641,4
0.004694,0.027485,16641,4
0.004663,0.027269,16641,4
0.00454,0.026612,16641,4
0.004452,0.028071,16641,4
0.004352,0.026745,16641,4
0.004432,0.028049,16641,4
0.007496,0.025651,16641,4
0.004674,0.027838,16641,4
0.004677,0.027613,16641,4
0.004655,0.025702,16641,4
0.00458,0.025607,16641,4
0.004377,0.02769,16641,4
0.004451,0.026634,16641,4
0.004436,0.026297,16641,4
0.004472,0.025484,16641,4
0.004615,0.02741,16641,4
0.004502,0.027799,16641,4
0.01299,0.026535,16641,4
0.004496,0.02436,16641,4
0.005837,0.028772,16641,4
0.007558,0.028607,16641,4
0.004462,0.028756,16641,4
0.004629,0.027526,16641,4
0.004757,0.025372,16641,4
0.00442,0.028416,16641,4
0.004477,0.027648,16641,4
0.004517,0.025997,16641,4
0.004612,0.025415,16641,4
0.004545,0.026192,16641,4
0.004571,0.028554,16641,4
0.004511,0.027041,16641,4
0.004544,0.025742,16641,4
0.004475,0.026441,16641,4
0.004641,0.026162,16641,4
0.004692,0.026395,16641,4
0.004478,0.02653,16641,4
0.004511,0.027578,16641,4
0.004507,0.026317,16641,4
0.006087,0.027429,16641,4
0.004398,0.028383,16641,4
0.004486,0.027551,16641,4
0.004481,0.028362,16641,4
0.004468,0.025743,16641,4
0.004695,0.026583,16641,4
0.004467,0.0278,16641,4
0.004439,0.027083,16641,4
0.004472,0.027079,16641,4
0.004489,0.027458,16641,4
0.00443,0.028843,16641,4
0.027823,0.082037,66049,4
0.054092,0.085585,66049,4
0.048915,0.08443,66049,4
0.051726,0.09048,66049,4
0.047245,0.085787,66049,4
0.05269,0.09418,66049,4
0.051682,0.082124,66049,4
0.050988,0.083986,66049,4
0.040424,0.085454,66049,4
0.057506,0.097318,66049,4
0.047578,0.079769,66049,4
0.047202,0.086403,66049,4
0.051036,0.085302,66049,4
0.044638,0.089765,66049,4
0.052497,0.090124,66049,4
0.035847,0.10606,66049,4
0.048586,0.083074,66049,4
0.045613,0.0838,66049,4
0.051,0.085395,66049,4
0.047729,0.083664,66049,4
0.047416,0.083278,66049,4
0.056082,0.084742,66049,4
0.053615,0.082328,66049,4
0.051811,0.089574,66049,4
0.04762,0.086626,66049,4
0.033966,0.09368,66049,4
0.04836,0.091857,66049,4
0.050285,0.086468,66049,4
0.050832,0.08665,66049,4
0.053759,0.091494,66049,4
0.048359,0.085196,66049,4
0.04825,0.085143,66049,4
0.055235,0.085587,66049,4
0.046287,0.090686,66049,4
0.046267,0.085059,66049,4
0.055502,0.091833,66049,4
0.045559,0.084259,66049,4
0.044328,0.085374,66049,4
0.036764,0.09185,66049,4
0.04814,0.08252,66049,4
0.05174,0.08043,66049,4
0.035135,0.099264,66049,4
0.053263,0.103787,66049,4
0.033184,0.101053,66049,4
0.05375,0.098887,66049,4
0.052446,0.101277,66049,4
0.061823,0.135349,66049,4
0.036519,0.101577,66049,4
0.045409,0.087263,66049,4
0.058305,0.082882,66049,4
0.223492,0.342326,263169,4
0.229592,0.335417,263169,4
0.243867,0.345569,263169,4
0.247549,0.339778,263169,4
0.224498,0.340048,263169,4
0.24866,0.336746,263169,4
0.222476,0.330491,263169,4
0.241325,0.349136,263169,4
0.214745,0.342624,263169,4
0.258021,0.336498,263169,4
0.247893,0.342117,263169,4
0.229288,0.333141,263169,4
0.221917,0.328395,263169,4
0.239185,0.341719,263169,4
0.22506,0.334112,263169,4
0.266295,0.375733,263169,4
0.127104,0.322462,263169,4
0.231325,0.33953,263169,4
0.22175,0.332702,263169,4
0.230806,0.337642,263169,4
0.238739,0.342108,263169,4
0.226719,0.343662,263169,4
0.272777,0.333515,263169,4
0.243268,0.343258,263169,4
0.224581,0.338469,263169,4
0.22598,0.343279,263169,4
0.122988,0.337761,263169,4
0.272508,0.341951,263169,4
0.226759,0.336754,263169,4
0.226158,0.334677,263169,4
0.209172,0.345956,263169,4
0.222127,0.335048,263169,4
0.231496,0.336237,263169,4
0.254166,0.359955,263169,4
0.270902,0.336442,263169,4
0.239577,0.338729,263169,4
0.263309,0.346349,263169,4
0.250247,0.341906,263169,4
0.222355,0.340375,263169,4
0.249976,0.336892,263169,4
0.22759,0.342181,263169,4
0.258862,0.341084,263169,4
0.263712,0.345826,263169,4
0.243417,0.341589,263169,4
0.221795,0.366802,263169,4
0.244464,0.3399,263169,4
0.242947,0.330833,263169,4
0.215883,0.335081,263169,4
0.251596,0.339907,263169,4
0.231891,0.331435,263169,4
0.73299,1.404609,1050625,4
0.730797,1.494908,1050625,4
0.854894,1.458039,1050625,4
0.848495,1.438128,1050625,4
0.690304,1.386271,1050625,4
0.79207,1.372487,1050625,4
0.80354,1.395954,1050625,4
0.741032,1.50251,1050625,4
0.724902,1.513586,1050625,4
0.723543,1.377454,1050625,4
0.696417,1.398536,1050625,4
0.69987,1.415066,1050625,4
0.427463,1.372933,1050625,4
0.722221,1.402755,1050625,4
0.422985,1.403187,1050625,4
0.700834,1.32504,1050625,4
0.771179,1.518108,1050625,4
0.728503,1.374316,1050625,4
0.779777,1.412071,1050625,4
0.708637,1.38697,1050625,4
0.860397,1.536872,1050625,4
0.781085,1.385042,1050625,4
0.722338,1.394905,1050625,4
0.731528,1.503319,1050625,4
0.691238,1.402881,1050625,4
0.667559,1.380018,1050625,4
0.693807,1.399942,1050625,4
0.773626,1.4275,1050625,4
0.771969,1.39474,1050625,4
0.774655,1.42595,1050625,4
0.427113,1.339452,1050625,4
0.709173,1.409674,1050625,4
0.674033,1.396399,1050625,4
0.757883,1.41229,1050625,4
0.425549,1.295684,1050625,4
0.641142,1.383682,1050625,4
0.984955,1.464474,1050625,4
0.821356,1.394954,1050625,4
0.700085,1.410449,1050625,4
0.721804,1.370337,1050625,4
0.751841,1.444623,1050625,4
0.701103,1.41849,1050625,4
0.774658,1.438073,1050625,4
1.002649,1.432697,1050625,4
0.699721,1.398358,1050625,4
0.729907,1.342045,1050625,4
0.703514,1.4295,1050625,4
0.788482,1.382666,1050625,4
0.70697,1.37982,1050625,4
0.705944,1.393913,1050625,4
3.920074,5.357599,4198401,4
4.206834,5.505397,4198401,4
4.361079,5.40297,4198401,4
4.36967,5.453413,4198401,4
2.116473,5.156612,4198401,4
3.950654,5.342802,4198401,4
3.989736,5.404736,4198401,4
4.614326,5.404532,4198401,4
4.060849,5.54231,4198401,4
4.612546,5.318042,4198401,4
3.802493,5.437388,4198401,4
3.750037,5.576475,4198401,4
3.85603,5.377522,4198401,4
4.371832,5.415767,4198401,4
4.383857,5.523885,4198401,4
4.746393,5.51423,4198401,4
4.161271,5.535105,4198401,4
3.407809,5.272627,4198401,4
4.040316,5.329795,4198401,4
4.443891,5.47796,4198401,4
4.324101,5.357229,4198401,4
4.262077,5.524563,4198401,4
4.677496,5.382131,4198401,4
4.126544,5.44389,4198401,4
4.416407,5.53405,4198401,4
3.508374,5.34082,4198401,4
4.526787,5.499439,4198401,4
4.566241,5.340058,4198401,4
4.173049,5.583266,4198401,4
3.932689,5.657067,4198401,4
2.080637,5.260482,4198401,4
3.923415,5.433719,4198401,4
3.445146,5.661334,4198401,4
3.735419,5.355992,4198401,4
3.898286,5.416427,4198401,4
3.577653,5.724901,4198401,4
3.548311,5.295298,4198401,4
