TempoAlocacao,Tempo,Pontos,Nucleos
0.001177,0.036693,16641,Sequencial
0.000991,0.036527,16641,Sequencial
0.000991,0.036727,16641,Sequencial
0.001149,0.037001,16641,Sequencial
0.001085,0.036712,16641,Sequencial
0.000993,0.036606,16641,Sequencial
0.000994,0.036797,16641,Sequencial
0.00113,0.036803,16641,Sequencial
0.001052,0.03683,16641,Sequencial
0.001144,0.036828,16641,Sequencial
0.001127,0.036825,16641,Sequencial
0.001136,0.036678,16641,Sequencial
0.000991,0.036596,16641,Sequencial
0.001129,0.036787,16641,Sequencial
0.001096,0.036679,16641,Sequencial
0.001131,0.03663,16641,Sequencial
0.001002,0.03665,16641,Sequencial
0.000994,0.036665,16641,Sequencial
0.000989,0.037026,16641,Sequencial
0.001012,0.037149,16641,Sequencial
0.001153,0.036582,16641,Sequencial
0.00113,0.03665,16641,Sequencial
0.00099,0.036555,16641,Sequencial
0.001091,0.036574,16641,Sequencial
0.001045,0.036823,16641,Sequencial
0.000989,0.036666,16641,Sequencial
0.001157,0.03688,16641,Sequencial
0.001128,0.036618,16641,Sequencial
0.000989,0.036747,16641,Sequencial
0.001118,0.03674,16641,Sequencial
0.001022,0.036826,16641,Sequencial
0.001145,0.036702,16641,Sequencial
0.001129,0.036625,16641,Sequencial
0.000991,0.036628,16641,Sequencial
0.001126,0.036602,16641,Sequencial
0.000989,0.03676,16641,Sequencial
0.001119,0.036673,16641,Sequencial
0.001143,0.036666,16641,Sequencial
0.001133,0.036626,16641,Sequencial
0.00099,0.036894,16641,Sequencial
0.001134,0.036597,16641,Sequencial
0.000989,0.036686,16641,Sequencial
0.001147,0.036729,16641,Sequencial
0.001134,0.036683,16641,Sequencial
0.001129,0.036774,16641,Sequencial
0.00099,0.036745,16641,Sequencial
0.001133,0.03665,16641,Sequencial
0.001049,0.037004,16641,Sequencial
0.001108,0.037035,16641,Sequencial
0.001114,0.036651,16641,Sequencial
0.002859,0.146291,66049,Sequencial
0.002877,0.146269,66049,Sequencial
0.002855,0.146976,66049,Sequencial
0.003003,0.146098,66049,Sequencial
0.002863,0.146051,66049,Sequencial
0.002855,0.146128,66049,Sequencial
0.003015,0.146025,66049,Sequencial
0.002936,0.145941,66049,Sequencial
0.002867,0.147285,66049,Sequencial
0.002868,0.145878,66049,Sequencial
0.003006,0.145824,66049,Sequencial
0.002865,0.146107,66049,Sequencial
0.002873,0.146392,66049,Sequencial
0.002856,0.146711,66049,Sequencial
0.003023,0.145933,66049,Sequencial
0.002865,0.147653,66049,Sequencial
0.002871,0.146735,66049,Sequencial
0.003004,0.145994,66049,Sequencial
0.00287,0.146322,66049,Sequencial
0.002862,0.146059,66049,Sequencial
0.003016,0.146166,66049,Sequencial
0.002865,0.146383,66049,Sequencial
0.002856,0.146508,66049,Sequencial
0.003006,0.146398,66049,Sequencial
0.002929,0.146958,66049,Sequencial
0.002849,0.146024,66049,Sequencial
0.003012,0.146815,66049,Sequencial
0.002891,0.146077,66049,Sequencial
0.002914,0.146215,66049,Sequencial
0.002919,0.145912,66049,Sequencial
0.002922,0.146107,66049,Sequencial
0.002903,0.146362,66049,Sequencial
0.002855,0.146381,66049,Sequencial
0.002862,0.145994,66049,Sequencial
0.003012,0.145878,66049,Sequencial
0.002865,0.146149,66049,Sequencial
0.002875,0.147239,66049,Sequencial
0.002875,0.146028,66049,Sequencial
0.002873,0.146334,66049,Sequencial
0.002876,0.146263,66049,Sequencial
0.002858,0.146117,66049,Sequencial
0.002857,0.14618,66049,Sequencial
0.002881,0.147673,66049,Sequencial
0.002857,0.146114,66049,Sequencial
0.002918,0.146152,66049,Sequencial
0.003036,0.146619,66049,Sequencial
0.002851,0.145651,66049,Sequencial
0.002989,0.146066,66049,Sequencial
0.002856,0.146071,66049,Sequencial
0.002869,0.147276,66049,Sequencial
0.010372,0.574648,263169,Sequencial
0.010409,0.579297,263169,Sequencial
0.010173,0.582067,263169,Sequencial
0.010335,0.575898,263169,Sequencial
0.010322,0.581725,263169,Sequencial
0.010267,0.575879,263169,Sequencial
0.010201,0.57627,263169,Sequencial
0.010404,0.575655,263169,Sequencial
0.010189,0.579036,263169,Sequencial
0.010241,0.577371,263169,Sequencial
0.010354,0.57718,263169,Sequencial
0.010359,0.575646,263169,Sequencial
0.010353,0.576268,263169,Sequencial
0.010277,0.575662,263169,Sequencial
0.010326,0.575687,263169,Sequencial
0.010185,0.57622,263169,Sequencial
0.010407,0.575779,263169,Sequencial
0.01034,0.575204,263169,Sequencial
0.01027,0.577893,263169,Sequencial
0.010397,0.576553,263169,Sequencial
0.010198,0.720919,263169,Sequencial
0.01041,0.578376,263169,Sequencial
0.010195,0.577699,263169,Sequencial
0.010316,0.577964,263169,Sequencial
0.010248,0.575246,263169,Sequencial
0.01024,0.577806,263169,Sequencial
0.010244,0.575882,263169,Sequencial
0.010213,0.577926,263169,Sequencial
0.010409,0.575904,263169,Sequencial
0.010199,0.575385,263169,Sequencial
0.010407,0.576285,263169,Sequencial
0.010188,0.575113,263169,Sequencial
0.010414,0.575563,263169,Sequencial
0.01026,0.576363,263169,Sequencial
0.010267,0.577017,263169,Sequencial
0.010201,0.578286,263169,Sequencial
0.010423,0.576771,263169,Sequencial
0.010196,0.574276,263169,Sequencial
0.010338,0.576741,263169,Sequencial
0.010321,0.575486,263169,Sequencial
0.010237,0.577982,263169,Sequencial
0.010348,0.577132,263169,Sequencial
0.01027,0.577792,263169,Sequencial
0.01027,0.577199,263169,Sequencial
0.010266,0.576972,263169,Sequencial
0.010325,0.575709,263169,Sequencial
0.010199,0.581633,263169,Sequencial
0.010342,0.5779,263169,Sequencial
0.010261,0.576544,263169,Sequencial
0.010316,0.575428,263169,Sequencial
0.039281,2.324613,1050625,Sequencial
0.039347,2.352541,1050625,Sequencial
0.039157,2.387827,1050625,Sequencial
0.039441,2.327728,1050625,Sequencial
0.039301,2.326273,1050625,Sequencial
0.039192,2.328814,1050625,Sequencial
0.039373,2.328121,1050625,Sequencial
0.039131,2.324208,1050625,Sequencial
0.039421,2.325683,1050625,Sequencial
0.039129,2.32713,1050625,Sequencial
0.039399,2.33305,1050625,Sequencial
0.039369,2.331611,1050625,Sequencial
0.039162,2.328132,1050625,Sequencial
0.03952,2.327895,1050625,Sequencial
0.039304,2.340642,1050625,Sequencial
0.039267,2.346485,1050625,Sequencial
0.039337,2.337088,1050625,Sequencial
0.039253,2.327323,1050625,Sequencial
0.039198,2.32867,1050625,Sequencial
0.039324,2.33227,1050625,Sequencial
0.03913,2.32787,1050625,Sequencial
0.039297,2.328947,1050625,Sequencial
0.039267,2.352733,1050625,Sequencial
0.03927,2.331904,1050625,Sequencial
0.039272,2.330854,1050625,Sequencial
0.039242,2.326974,1050625,Sequencial
0.039147,2.326044,1050625,Sequencial
0.039333,2.328843,1050625,Sequencial
0.039298,2.329968,1050625,Sequencial
0.039219,2.335106,1050625,Sequencial
0.039216,2.330009,1050625,Sequencial
0.039242,2.351352,1050625,Sequencial
0.03922,2.327144,1050625,Sequencial
0.039405,2.330968,1050625,Sequencial
0.039138,2.332708,1050625,Sequencial
0.03933,2.32683,1050625,Sequencial
0.039327,2.331652,1050625,Sequencial
0.039134,2.341716,1050625,Sequencial
0.039339,2.327384,1050625,Sequencial
0.039405,2.328413,1050625,Sequencial
0.039148,2.336537,1050625,Sequencial
0.039309,2.339853,1050625,Sequencial
0.039336,2.326214,1050625,Sequencial
0.039163,2.325116,1050625,Sequencial
0.039445,2.328893,1050625,Sequencial
