TempoAlocacao,Tempo,Pontos,Nucleos
0.008988,0.022207,16641,16
0.007075,0.023165,16641,16
0.009251,0.022684,16641,16
0.00565,0.020762,16641,16
0.009127,0.021555,16641,16
0.016041,0.022493,16641,16
0.007097,0.023079,16641,16
0.007811,0.022989,16641,16
0.011472,0.022948,16641,16
0.007009,0.022899,16641,16
0.006694,0.022084,16641,16
0.005551,0.021771,16641,16
0.010787,0.023932,16641,16
0.006079,0.021374,16641,16
0.010117,0.024397,16641,16
0.007006,0.023713,16641,16
0.00776,0.022662,16641,16
0.005651,0.021587,16641,16
0.009488,0.025043,16641,16
0.005572,0.02253,16641,16
0.00813,0.021563,16641,16
0.008713,0.020877,16641,16
0.005715,0.023317,16641,16
0.010508,0.021214,16641,16
0.01,0.023235,16641,16
0.005696,0.021835,16641,16
0.013772,0.020461,16641,16
0.012468,0.024212,16641,16
0.009279,0.021905,16641,16
0.011765,0.030688,16641,16
0.006825,0.024143,16641,16
0.011707,0.022644,16641,16
0.006988,0.023659,16641,16
0.009589,0.024071,16641,16
0.007231,0.022039,16641,16
0.006828,0.021795,16641,16
0.013005,0.023225,16641,16
0.006875,0.020721,16641,16
0.009612,0.020096,16641,16
0.005661,0.020709,16641,16
0.013379,0.025234,16641,16
0.016585,0.021683,16641,16
0.007175,0.024471,16641,16
0.011482,0.021562,16641,16
0.008573,0.027011,16641,16
0.008062,0.023504,16641,16
0.005814,0.020474,16641,16
0.009215,0.022886,16641,16
0.005743,0.021674,16641,16
0.019762,0.024829,16641,16
0.055182,0.091208,66049,16
0.041141,0.078988,66049,16
0.041602,0.078354,66049,16
0.040483,0.077988,66049,16
0.043234,0.074967,66049,16
0.041831,0.082214,66049,16
0.053015,0.077802,66049,16
0.042747,0.077324,66049,16
0.045712,0.077883,66049,16
0.043719,0.077534,66049,16
0.04383,0.081968,66049,16
0.055384,0.087302,66049,16
0.052051,0.089593,66049,16
0.039974,0.076353,66049,16
0.03913,0.073676,66049,16
0.041128,0.079129,66049,16
0.054739,0.094428,66049,16
0.052693,0.085984,66049,16
0.049144,0.076408,66049,16
0.046041,0.081573,66049,16
0.044248,0.081517,66049,16
0.060802,0.081454,66049,16
0.052106,0.084374,66049,16
0.052184,0.085851,66049,16
0.040388,0.076453,66049,16
0.052923,0.092537,66049,16
0.051958,0.081311,66049,16
0.057762,0.110251,66049,16
0.048903,0.081679,66049,16
0.060986,0.086006,66049,16
0.058028,0.076097,66049,16
0.051817,0.086312,66049,16
0.054546,0.081462,66049,16
0.04266,0.076409,66049,16
0.041243,0.076762,66049,16
0.042603,0.077803,66049,16
0.042829,0.075848,66049,16
0.041094,0.081645,66049,16
0.041967,0.077089,66049,16
0.042138,0.075622,66049,16
0.068204,0.096854,66049,16
0.068044,0.090739,66049,16
0.042355,0.080516,66049,16
0.040465,0.07829,66049,16
0.059312,0.083768,66049,16
0.039624,0.074515,66049,16
0.049128,0.087151,66049,16
0.039802,0.078505,66049,16
0.056405,0.096401,66049,16
0.053208,0.07851,66049,16
0.242896,0.233643,263169,16
0.220074,0.241544,263169,16
0.22515,0.246307,263169,16
0.238458,0.232661,263169,16
0.226152,0.237901,263169,16
0.229567,0.251399,263169,16
0.239319,0.271888,263169,16
0.22002,0.231409,263169,16
0.229518,0.263539,263169,16
0.216097,0.248957,263169,16
0.229164,0.247805,263169,16
0.220461,0.231522,263169,16
0.244929,0.238731,263169,16
0.233962,0.232331,263169,16
0.232134,0.247037,263169,16
0.229054,0.243898,263169,16
0.228007,0.230715,263169,16
0.283193,0.262587,263169,16
0.248607,0.25578,263169,16
0.300078,0.237169,263169,16
0.285367,0.261722,263169,16
0.246905,0.233599,263169,16
0.22174,0.262055,263169,16
0.237561,0.264557,263169,16
0.226952,0.240961,263169,16
0.272486,0.230339,263169,16
0.231164,0.250187,263169,16
0.295148,0.257306,263169,16
0.233519,0.250671,263169,16
0.228516,0.247338,263169,16
0.224437,0.249192,263169,16
0.234236,0.267816,263169,16
0.242832,0.241682,263169,16
0.212675,0.247037,263169,16
0.23285,0.250568,263169,16
0.302522,0.280755,263169,16
