TempoAlocacao,Tempo,Pontos
0.016234,0.016143,16641
0.018775,0.013807,16641
0.015897,0.008843,16641
0.01456,0.014548,16641
0.020044,0.012503,16641
0.015997,0.014221,16641
0.019175,0.012477,16641
0.016349,0.008905,16641
0.01507,0.016958,16641
0.015329,0.017243,16641
0.014805,0.016722,16641
0.014834,0.015677,16641
0.017072,0.008666,16641
0.019143,0.008858,16641
0.015657,0.017361,16641
0.020248,0.008897,16641
0.01469,0.014507,16641
0.017141,0.014238,16641
0.01601,0.010202,16641
0.016732,0.009804,16641
0.019319,0.008779,16641
0.015497,0.014361,16641
0.014668,0.018063,16641
0.018161,0.008836,16641
0.016035,0.014294,16641
0.015253,0.017067,16641
0.01489,0.01387,16641
0.01554,0.008853,16641
0.019347,0.01235,16641
0.014775,0.015239,16641
0.01727,0.008775,16641
0.016459,0.008963,16641
0.017632,0.008963,16641
0.019835,0.008772,16641
0.015533,0.015258,16641
0.020645,0.011849,16641
0.014715,0.014598,16641
0.016096,0.012113,16641
0.017789,0.01727,16641
0.021128,0.012262,16641
0.016086,0.011851,16641
0.018436,0.00881,16641
0.01483,0.014501,16641
0.014285,0.014122,16641
0.018171,0.015987,16641
0.019525,0.009211,16641
0.01698,0.00878,16641
0.015138,0.013409,16641
0.014607,0.015595,16641
0.015336,0.013857,16641
0.12624,0.058315,66049
0.094075,0.042355,66049
0.074503,0.044604,66049
0.099296,0.039714,66049
0.099479,0.044541,66049
0.090853,0.053641,66049
0.093514,0.037548,66049
0.082159,0.039551,66049
0.075102,0.058469,66049
0.094316,0.056657,66049
0.092413,0.075306,66049
0.095079,0.050464,66049
0.081804,0.034524,66049
0.109438,0.044115,66049
0.084631,0.047681,66049
0.089253,0.049275,66049
0.085266,0.037793,66049
0.076098,0.033997,66049
0.095047,0.041051,66049
0.096674,0.036179,66049
0.099039,0.036481,66049
0.08371,0.044667,66049
0.102543,0.043712,66049
0.103002,0.03645,66049
0.105691,0.041586,66049
0.077197,0.046947,66049
0.103186,0.052828,66049
0.078529,0.046238,66049
0.091517,0.03894,66049
0.101571,0.038888,66049
0.077882,0.033975,66049
0.103844,0.044753,66049
0.100832,0.040154,66049
0.084748,0.045814,66049
0.085801,0.041358,66049
0.098872,0.047697,66049
0.094713,0.040103,66049
0.079685,0.049416,66049
0.08091,0.041212,66049
0.079147,0.047727,66049
0.083024,0.043529,66049
0.096896,0.046621,66049
0.079998,0.0539,66049
0.105685,0.040324,66049
0.10004,0.050869,66049
0.104548,0.040165,66049
0.083671,0.044903,66049
0.102075,0.048827,66049
0.076156,0.045567,66049
0.078104,0.038918,66049
0.400114,0.128103,263169
0.435026,0.126804,263169
0.443892,0.126744,263169
0.436934,0.12802,263169
0.426955,0.127322,263169
0.440638,0.127223,263169
0.453962,0.124889,263169
0.391831,0.128215,263169
0.437403,0.13259,263169
0.412805,0.127691,263169
0.39248,0.127898,263169
0.427504,0.127274,263169
0.401606,0.127603,263169
0.4097,0.126322,263169
0.41891,0.126772,263169
0.46623,0.127318,263169
0.383538,0.12892,263169
0.465738,0.128123,263169
0.457629,0.129237,263169
0.469177,0.12898,263169
0.369489,0.127835,263169
0.400018,0.128025,263169
0.455563,0.131585,263169
0.412157,0.127641,263169
0.448246,0.12653,263169
0.413937,0.12632,263169
0.43567,0.12561,263169
0.478208,0.12756,263169
0.390751,0.126634,263169
0.438986,0.126409,263169
0.424775,0.125709,263169
0.391189,0.126376,263169
0.486448,0.128104,263169
0.44035,0.127132,263169
0.413082,0.127907,263169
0.42151,0.127557,263169
0.428476,0.126911,263169
0.401828,0.126508,263169
0.464071,0.127087,263169
0.431375,0.129083,263169
0.421712,0.125951,263169
0.419686,0.129548,263169
0.383059,0.127761,263169
0.444208,0.122698,263169
0.444573,0.126789,263169
0.41229,0.127643,263169
0.442473,0.128775,263169
0.405638,0.126851,263169
0.423597,0.127142,263169
0.426934,0.136611,263169
1.72814,0.515254,1050625
1.902639,0.511168,1050625
1.875957,0.515717,1050625
1.893813,0.517315,1050625
2.070523,0.511241,1050625
1.956169,0.51516,1050625
1.862625,0.512675,1050625
1.704131,0.510502,1050625
1.764806,0.515292,1050625
1.969901,0.511212,1050625
1.601191,0.515251,1050625
1.640602,0.510711,1050625
1.666825,0.511792,1050625
1.597403,0.51241,1050625
1.609573,0.508415,1050625
2.036037,0.506514,1050625
1.743845,0.512734,1050625
1.959261,0.51425,1050625
1.826493,0.508822,1050625
1.68743,0.511704,1050625
1.698284,0.514877,1050625
1.661938,0.541158,1050625
1.743325,0.50988,1050625
1.759609,0.511119,1050625
1.601968,0.514038,1050625
1.745274,0.510402,1050625
1.861601,0.513617,1050625
1.705401,0.510328,1050625
1.950163,0.511025,1050625
1.725803,0.513816,1050625
1.91757,0.512128,1050625
1.79233,0.512722,1050625
1.934656,0.513973,1050625
1.898467,0.511161,1050625
1.614324,0.508251,1050625
1.703532,0.515588,1050625
1.878864,0.514791,1050625
1.632933,0.516997,1050625
2.069994,0.557803,1050625
1.94579,0.51858,1050625
1.961462,0.51195,1050625
1.77942,0.509145,1050625
1.729858,0.513774,1050625
1.9108,0.512424,1050625
1.796466,0.511537,1050625
1.795132,0.510938,1050625
1.559699,0.512838,1050625
1.673093,0.512618,1050625
1.745744,0.511853,1050625
1.034618,0.457159,1050625
7.195202,2.08134,4198401
7.570064,2.888637,4198401
6.922944,2.923387,4198401
7.446964,2.899239,4198401
7.698831,2.908113,4198401
7.607842,2.913728,4198401
6.260439,2.072118,4198401
6.888341,2.06315,4198401
7.855175,3.172538,4198401
7.758609,3.065984,4198401
8.526304,3.076823,4198401
8.241503,3.119486,4198401
7.142519,2.064831,4198401
6.692043,2.056706,4198401
7.589967,2.898443,4198401
8.100955,3.220526,4198401
7.898391,2.979452,4198401
8.61559,3.094333,4198401
8.355121,3.107209,4198401
7.007494,2.067147,4198401
7.499501,2.926078,4198401
8.553746,3.10671,4198401
7.785741,2.817353,4198401
7.244833,2.815347,4198401
6.753414,2.04711,4198401
8.917449,3.175987,4198401
6.218693,2.073981,4198401
7.638331,2.992136,4198401
7.215829,2.066922,4198401
8.060466,3.233448,4198401
6.730189,2.802693,4198401
6.862941,2.061411,4198401
8.088438,3.177288,4198401
7.335531,3.105581,4198401
6.449501,2.259207,4198401
6.554581,2.065195,4198401
6.942007,2.055413,4198401
7.661203,3.171557,4198401
7.896924,2.874692,4198401
7.794285,2.98058,4198401
8.264774,3.035923,4198401
7.793017,2.041249,4198401
7.577429,2.882809,4198401
7.239534,2.070907,4198401
7.231138,2.897172,4198401
6.588621,2.123704,4198401
6.755105,2.076012,4198401
7.729212,2.798087,4198401
6.854739,2.08281,4198401
8.094547,3.029251,4198401
