TempoAlocacao,Tempo,Pontos
0.024425,0.062148,16641
0.025916,0.06717,16641
0.018126,0.057071,16641
0.017649,0.066312,16641
0.023171,0.062171,16641
0.025372,0.061673,16641
0.023854,0.061475,16641
0.023841,0.060552,16641
0.029079,0.063519,16641
0.017973,0.068542,16641
0.017548,0.077055,16641
0.020257,0.061589,16641
0.017724,0.064817,16641
0.017644,0.070905,16641
0.024141,0.067273,16641
0.021934,0.063648,16641
0.024472,0.065906,16641
0.020378,0.06649,16641
0.025212,0.06182,16641
0.026789,0.062405,16641
0.031171,0.066853,16641
0.029666,0.071084,16641
0.026164,0.063025,16641
0.026391,0.071885,16641
0.02734,0.07028,16641
0.026729,0.066396,16641
0.024243,0.06037,16641
0.024235,0.062301,16641
0.027689,0.069528,16641
0.021752,0.06106,16641
0.025351,0.06719,16641
0.02401,0.062379,16641
0.028661,0.064152,16641
0.0256,0.070654,16641
0.024531,0.061293,16641
0.023127,0.064622,16641
0.025757,0.065426,16641
0.027273,0.067943,16641
0.024698,0.062594,16641
0.024763,0.062503,16641
0.025514,0.077215,16641
0.024705,0.064423,16641
0.025125,0.060536,16641
0.018245,0.057286,16641
0.023459,0.074249,16641
0.026484,0.063549,16641
0.022061,0.063392,16641
0.026119,0.064356,16641
0.026338,0.063539,16641
0.02762,0.061907,16641
0.105824,0.296171,66049
0.106082,0.272159,66049
0.113852,0.274954,66049
0.102846,0.260433,66049
0.082183,0.256363,66049
0.101855,0.276927,66049
0.108433,0.309567,66049
0.102602,0.305899,66049
0.101931,0.294114,66049
0.11182,0.278766,66049
0.099859,0.402299,66049
0.101693,0.303329,66049
0.110827,0.244373,66049
0.089,0.240992,66049
0.098928,0.274383,66049
0.104069,0.267732,66049
0.115689,0.271309,66049
0.076051,0.23756,66049
0.075261,0.24284,66049
0.09903,0.268072,66049
0.075823,0.243727,66049
0.107632,0.269149,66049
0.101715,0.280084,66049
0.100574,0.307974,66049
0.113409,0.278169,66049
0.113842,0.287752,66049
0.074934,0.242919,66049
0.069811,0.261476,66049
0.080808,0.241495,66049
0.100567,0.333346,66049
0.106974,0.266358,66049
0.114587,0.279413,66049
0.078752,0.273468,66049
