TempoAlocacao,Tempo,Pontos
0.029825,0.078118,16641
0.036499,0.087518,16641
0.031799,0.086849,16641
0.031557,0.080844,16641
0.026403,0.073519,16641
0.021134,0.081383,16641
0.030858,0.08249,16641
0.030077,0.0844,16641
0.033178,0.086734,16641
0.026003,0.071186,16641
0.020097,0.07072,16641
0.022708,0.070538,16641
0.020258,0.063529,16641
0.035278,0.075633,16641
0.020934,0.0643,16641
0.022486,0.068143,16641
0.020619,0.066638,16641
0.020505,0.068065,16641
0.020626,0.069722,16641
0.036103,0.076816,16641
0.029922,0.070463,16641
0.020567,0.077216,16641
0.032056,0.078763,16641
0.021704,0.0754,16641
0.031769,0.072618,16641
0.032206,0.083247,16641
0.030913,0.077168,16641
0.023245,0.066208,16641
0.020662,0.072812,16641
0.019796,0.064735,16641
0.031151,0.071396,16641
0.034875,0.089004,16641
0.019793,0.070415,16641
0.020128,0.069231,16641
0.032913,0.085052,16641
0.032775,0.082858,16641
0.020218,0.076524,16641
0.0212,0.067085,16641
0.020109,0.067771,16641
0.028392,0.091319,16641
0.020253,0.064967,16641
0.031442,0.072609,16641
0.033701,0.081511,16641
0.02004,0.065291,16641
0.031338,0.088997,16641
0.020484,0.078888,16641
0.033915,0.088686,16641
0.031162,0.073451,16641
0.028806,0.067694,16641
0.020188,0.071122,16641
0.08811,0.300331,66049
0.133152,0.376254,66049
0.087183,0.248711,66049
0.135577,0.351595,66049
0.088459,0.304035,66049
0.125522,0.369714,66049
0.132244,0.287302,66049
0.127336,0.350221,66049
0.100152,0.331041,66049
0.130955,0.338431,66049
0.086644,0.302643,66049
0.124435,0.312483,66049
0.087418,0.28239,66049
0.136234,0.345652,66049
0.140698,0.419384,66049
0.123112,0.291584,66049
0.119603,0.367011,66049
0.123809,0.295525,66049
0.131489,0.376858,66049
0.09012,0.272499,66049
0.124463,0.381366,66049
0.089198,0.313746,66049
0.122649,0.420898,66049
0.089814,0.276969,66049
0.09067,0.275641,66049
0.139177,0.411372,66049
0.135795,0.374918,66049
0.14522,0.385984,66049
0.136219,0.438659,66049
0.090531,0.320357,66049
0.121118,0.300753,66049
0.137029,0.339536,66049
0.140005,0.307657,66049
0.123581,0.411969,66049
0.128213,0.354664,66049
0.132527,0.398467,66049
0.122322,0.317653,66049
0.138447,0.329912,66049
0.12137,0.416063,66049
0.121703,0.303773,66049
0.140892,0.328344,66049
0.091118,0.287845,66049
0.088333,0.277635,66049
0.126677,0.386113,66049
0.088616,0.272211,66049
0.142753,0.419132,66049
0.131247,0.300486,66049
0.091001,0.326959,66049
0.136198,0.352934,66049
0.088929,0.28442,66049
0.606432,1.567956,263169
0.430733,1.361758,263169
0.422874,1.324166,263169
0.608593,1.350474,263169
0.572535,1.307207,263169
0.591478,1.622214,263169
0.502713,1.163599,263169
0.578675,1.372173,263169
0.62911,1.228473,263169
0.580097,1.567461,263169
0.433083,1.194196,263169
0.562496,1.463991,263169
0.60485,1.282702,263169
0.425235,1.097117,263169
0.418455,1.350321,263169
0.546362,1.673994,263169
0.414043,1.25858,263169
0.639619,1.693124,263169
0.568975,1.583387,263169
0.420928,1.140541,263169
0.420931,1.498414,263169
0.584999,1.684978,263169
0.427594,1.169381,263169
0.437194,1.427611,263169
0.438851,1.118253,263169
0.587549,1.420965,263169
0.601362,1.523796,263169
0.448717,1.165812,263169
0.612826,1.570996,263169
0.607759,1.484703,263169
0.551277,1.426097,263169
0.616441,1.235538,263169
0.596388,1.463329,263169
0.597704,1.637878,263169
0.448162,1.126197,263169
0.55569,1.55612,263169
0.429748,1.58971,263169
0.432673,1.120099,263169
0.551544,1.94152,263169
0.416296,1.340516,263169
0.599787,1.722545,263169
0.642257,1.474751,263169
0.574352,1.397011,263169
0.589698,1.2182,263169
0.425908,1.30354,263169
0.587681,1.705401,263169
0.441755,1.466407,263169
0.423115,1.30507,263169
0.612853,1.35697,263169
0.421433,1.688388,263169
3.117032,5.449098,1050625
2.992614,6.5165,1050625
3.047546,7.697991,1050625
3.140687,7.051519,1050625
2.046123,5.334874,1050625
1.935473,6.418878,1050625
2.161519,5.410089,1050625
3.25976,6.79775,1050625
2.643769,5.120617,1050625
2.015353,4.684826,1050625
2.817493,5.558371,1050625
3.231665,5.786981,1050625
2.934172,7.189499,1050625
2.593018,7.133951,1050625
2.860883,8.272485,1050625
2.934403,6.730028,1050625
3.311974,6.391479,1050625
2.061965,6.097585,1050625
2.136094,7.202861,1050625
3.036849,8.65246,1050625
2.494509,7.492471,1050625
2.068243,5.996988,1050625
2.05437,5.321908,1050625
3.045355,5.60074,1050625
2.044033,8.082663,1050625
3.220272,6.185077,1050625
2.99638,5.514358,1050625
2.157753,6.065273,1050625
2.217254,5.176801,1050625
2.156171,5.556586,1050625
2.846958,5.536852,1050625
2.625592,5.417039,1050625
2.197554,6.175086,1050625
2.145845,7.2453,1050625
2.910994,7.076414,1050625
2.880883,7.199149,1050625
2.037808,6.589585,1050625
2.898418,6.23878,1050625
3.162151,5.045398,1050625
2.991502,5.377801,1050625
3.010766,5.067276,1050625
3.025083,7.343057,1050625
3.196687,5.209203,1050625
3.314547,7.656354,1050625
2.898815,6.458004,1050625
2.149889,8.855547,1050625
3.080692,6.688354,1050625
3.143841,7.964995,1050625
3.023788,5.592035,1050625
2.596574,6.474603,1050625
12.236635,18.297018,4198401
8.49476,18.099879,4198401
10.416171,19.435358,4198401
10.182672,19.797347,4198401
8.155997,19.088883,4198401
12.233908,20.224351,4198401
9.861379,19.741177,4198401
8.572628,19.425654,4198401
10.078103,20.122981,4198401
7.774729,20.105255,4198401
10.871648,19.719325,4198401
10.673822,18.89081,4198401
12.127011,18.311565,4198401
10.275959,19.256238,4198401
10.199701,18.201347,4198401
7.71391,19.579384,4198401
12.112894,22.455956,4198401
9.655617,18.550368,4198401
9.23633,20.209183,4198401
11.011095,19.236125,4198401
8.08536,19.535099,4198401
10.171711,18.897683,4198401
8.388143,18.932702,4198401
8.474786,19.277163,4198401
10.201952,18.723964,4198401
8.134904,19.228618,4198401
9.951755,18.460256,4198401
8.112529,19.625358,4198401
11.844401,18.755429,4198401
11.438324,20.23729,4198401
12.763388,20.486704,4198401
10.368272,19.885034,4198401
9.610612,19.656839,4198401
10.821713,18.729934,4198401
7.678683,19.988175,4198401
8.367655,19.078306,4198401
7.663805,19.449084,4198401
8.017892,19.106674,4198401
7.958731,18.828359,4198401
10.689201,19.349288,4198401
10.412942,18.733412,4198401
8.08468,18.289245,4198401
