TempoAlocacao,Tempo,Pontos
0.012489,0.07762,16641
0.011281,0.077722,16641
0.011294,0.078798,16641
0.012266,0.078671,16641
0.013639,0.078732,16641
0.013143,0.078668,16641
0.011565,0.078971,16641
0.011398,0.078388,16641
0.011442,0.077361,16641
0.011317,0.077462,16641
0.011498,0.078615,16641
0.011593,0.078262,16641
0.011471,0.077846,16641
0.011346,0.081488,16641
0.011421,0.078321,16641
0.011582,0.075436,16641
0.011484,0.082692,16641
0.011341,0.076746,16641
0.011258,0.078616,16641
0.011327,0.080286,16641
0.011384,0.082616,16641
0.011533,0.078249,16641
0.01348,0.077979,16641
0.011408,0.080235,16641
0.012099,0.080436,16641
0.011297,0.080605,16641
0.011472,0.079011,16641
0.011366,0.079193,16641
0.011419,0.076712,16641
0.011667,0.081645,16641
0.011329,0.077236,16641
0.011352,0.080359,16641
0.011412,0.07964,16641
0.011504,0.07777,16641
0.011458,0.077717,16641
0.011636,0.078501,16641
0.011559,0.078415,16641
0.01871,0.08101,16641
0.011473,0.08049,16641
0.011402,0.078098,16641
0.011195,0.075312,16641
0.011683,0.078899,16641
0.011451,0.078312,16641
0.011738,0.078861,16641
0.011499,0.080432,16641
0.01092,0.087891,16641
0.012152,0.080896,16641
0.011622,0.078435,16641
0.011352,0.077808,16641
0.011473,0.076857,16641
0.057326,0.320684,66049
0.055285,0.323391,66049
0.05234,0.317142,66049
0.052909,0.393067,66049
0.047138,0.343583,66049
0.054035,0.321984,66049
0.056293,0.321622,66049
0.059093,0.31938,66049
0.052673,0.323824,66049
0.053271,0.327324,66049
0.053684,0.316611,66049
0.05457,0.320807,66049
0.052045,0.323189,66049
0.055416,0.330557,66049
0.056892,0.317821,66049
0.054273,0.324292,66049
0.055674,0.321001,66049
0.05388,0.322269,66049
0.054959,0.323826,66049
0.054809,0.324017,66049
0.053052,0.32172,66049
0.055754,0.319992,66049
0.057265,0.320803,66049
0.057044,0.31632,66049
0.060497,0.333694,66049
0.054399,0.32336,66049
0.056968,0.327818,66049
0.051333,0.326663,66049
0.047767,0.320588,66049
0.052562,0.320573,66049
0.052061,0.323337,66049
0.054576,0.333342,66049
0.057036,0.314169,66049
0.053032,0.320669,66049
0.059502,0.327153,66049
0.052262,0.321152,66049
0.054768,0.317529,66049
0.054387,0.32735,66049
0.057528,0.318308,66049
0.051825,0.386659,66049
0.055178,0.318301,66049
0.053248,0.324988,66049
0.053705,0.321483,66049
0.052498,0.325308,66049
0.055264,0.323567,66049
0.053467,0.319977,66049
0.051422,0.322278,66049
0.054428,0.322135,66049
0.055827,0.334535,66049
0.051253,0.314779,66049
0.212193,1.225407,263169
0.208468,1.242545,263169
0.192892,1.28018,263169
0.202674,1.235732,263169
0.204777,1.245024,263169
0.206539,1.293354,263169
0.197905,1.250283,263169
0.207957,1.261457,263169
0.204216,1.261362,263169
0.212083,1.235732,263169
0.20487,1.245137,263169
0.216794,1.245758,263169
0.200653,1.249187,263169
0.206369,1.264978,263169
0.201601,1.228258,263169
0.198239,1.29492,263169
0.189454,1.245253,263169
0.196934,1.252626,263169
0.211351,1.240416,263169
0.196606,1.251601,263169
0.210728,1.242778,263169
0.190954,1.282496,263169
0.18968,1.224285,263169
0.192399,1.233574,263169
0.211195,1.258271,263169
0.205703,1.240398,263169
0.194502,1.280328,263169
0.207429,1.259063,263169
0.203247,1.240892,263169
0.209142,1.269022,263169
0.234271,1.23685,263169
0.17793,1.19233,263169
0.189567,1.226605,263169
0.198759,1.219448,263169
0.200804,1.234434,263169
0.190477,1.255392,263169
0.195403,1.246912,263169
0.208649,1.244977,263169
0.21112,1.235254,263169
0.205389,1.250414,263169
0.20331,1.250101,263169
0.194021,1.253284,263169
0.193503,1.251818,263169
0.213706,1.221972,263169
0.196471,1.295877,263169
0.202283,1.247438,263169
0.210624,1.2451,263169
0.205819,1.285529,263169
0.207984,1.263102,263169
0.197376,1.258665,263169
0.962311,4.920853,1050625
0.87024,5.036771,1050625
0.91074,5.009145,1050625
0.92875,4.793851,1050625
0.88199,5.121668,1050625
0.873476,5.107022,1050625
0.932149,5.128466,1050625
0.902066,5.002422,1050625
1.01669,5.136489,1050625
0.911063,5.020865,1050625
0.932616,5.202215,1050625
0.91558,4.971353,1050625
0.676451,4.819965,1050625
0.933944,4.911048,1050625
0.898696,5.16636,1050625
0.975988,5.187104,1050625
0.947271,5.179204,1050625
0.942594,4.991742,1050625
1.023333,5.259564,1050625
0.878114,4.901372,1050625
0.681702,4.59618,1050625
1.008555,4.922097,1050625
0.891919,4.971108,1050625
