TempoAlocacao,Tempo,Pontos
0.025924,0.034119,16641
0.026831,0.034308,16641
0.026251,0.033999,16641
0.028531,0.035005,16641
0.026602,0.033665,16641
0.029432,0.033855,16641
0.02581,0.037177,16641
0.025688,0.034362,16641
0.026215,0.033462,16641
0.027424,0.034413,16641
0.028578,0.035706,16641
0.026448,0.039203,16641
0.025915,0.034075,16641
0.023534,0.033637,16641
0.029419,0.035253,16641
0.026972,0.038048,16641
0.026677,0.033672,16641
0.02922,0.034721,16641
0.026213,0.033749,16641
0.026558,0.038475,16641
0.026466,0.034515,16641
0.026795,0.032611,16641
0.026537,0.033895,16641
0.026094,0.034067,16641
0.024954,0.033763,16641
0.025976,0.039118,16641
0.032099,0.033012,16641
0.025834,0.034072,16641
0.026146,0.034739,16641
0.025802,0.03288,16641
0.028911,0.034114,16641
0.025859,0.03479,16641
0.026815,0.03431,16641
0.030148,0.034488,16641
0.029456,0.034362,16641
0.026354,0.033263,16641
0.028592,0.0353,16641
0.026111,0.033837,16641
0.027174,0.033869,16641
0.029633,0.033383,16641
0.025621,0.034071,16641
0.02859,0.03516,16641
0.027609,0.034084,16641
0.028503,0.03454,16641
0.021588,0.03432,16641
0.029085,0.034582,16641
0.028357,0.033417,16641
0.026753,0.033272,16641
0.025603,0.03535,16641
0.026421,0.034137,16641
0.130611,0.141308,66049
0.154593,0.151551,66049
0.130302,0.156483,66049
0.129413,0.137702,66049
0.1277,0.137512,66049
0.149437,0.13254,66049
0.144151,0.158597,66049
0.129016,0.143488,66049
0.150337,0.139951,66049
0.143768,0.153944,66049
0.130165,0.165348,66049
0.127159,0.155305,66049
0.145381,0.156339,66049
0.127814,0.143624,66049
0.127925,0.176512,66049
0.129899,0.172813,66049
0.135312,0.1412,66049
0.139107,0.135816,66049
0.131497,0.127647,66049
0.144967,0.157619,66049
0.139756,0.145227,66049
0.142917,0.139835,66049
0.143473,0.135389,66049
0.129942,0.162195,66049
0.133131,0.146512,66049
0.127782,0.148622,66049
0.128,0.175372,66049
0.149717,0.141978,66049
0.141012,0.138753,66049
0.126957,0.152143,66049
0.141273,0.137923,66049
0.124044,0.150897,66049
0.140037,0.180153,66049
0.129525,0.141944,66049
0.135884,0.147902,66049
0.127529,0.13269,66049
0.145098,0.168891,66049
0.136771,0.176841,66049
0.123906,0.158696,66049
0.140779,0.136136,66049
0.138078,0.14245,66049
0.153446,0.198193,66049
0.143803,0.146062,66049
0.132057,0.128014,66049
0.156312,0.172526,66049
0.128701,0.153849,66049
0.122871,0.142179,66049
0.13605,0.166498,66049
0.147747,0.188776,66049
0.146731,0.134601,66049
0.582392,0.620904,263169
0.593192,0.541292,263169
0.576973,0.642425,263169
0.58668,0.557899,263169
0.618934,0.670186,263169
0.622528,0.673404,263169
0.675021,0.55696,263169
0.576685,0.543141,263169
0.652364,0.539007,263169
0.565676,0.704474,263169
0.664933,0.549777,263169
0.599324,0.642286,263169
0.684116,0.570027,263169
0.650017,0.604184,263169
0.644253,0.545966,263169
0.628207,0.550417,263169
0.689477,0.541831,263169
0.691358,0.551792,263169
0.574366,0.611009,263169
0.597519,0.550484,263169
0.669364,0.550935,263169
0.691379,0.560004,263169
0.665827,0.547389,263169
0.650658,0.602349,263169
0.678587,0.546676,263169
0.602863,0.545251,263169
0.694537,0.545628,263169
0.641503,0.549237,263169
0.574748,0.542414,263169
0.572557,0.54403,263169
0.576287,0.564445,263169
0.584661,0.544907,263169
0.65143,0.528204,263169
0.604887,0.55409,263169
0.602279,0.545061,263169
0.590459,0.548658,263169
0.572329,0.542293,263169
0.669706,0.540735,263169
0.659369,0.561298,263169
0.597943,0.656102,263169
0.687975,0.548213,263169
0.64913,0.527351,263169
0.659204,0.546141,263169
0.609526,0.544455,263169
0.638384,0.542132,263169
0.680586,0.553743,263169
0.638711,0.570289,263169
0.664125,0.561144,263169
0.680131,0.553239,263169
0.645709,0.543285,263169
2.259684,2.216269,1050625
2.52999,2.41955,1050625
2.741004,2.29632,1050625
2.268761,2.155422,1050625
2.132117,2.419857,1050625
2.655212,2.327188,1050625
2.786097,2.432691,1050625
2.513639,2.328951,1050625
2.818969,2.620467,1050625
2.501507,2.33872,1050625
2.41105,2.326205,1050625
2.87866,2.476892,1050625
2.817556,2.334598,1050625
2.425761,2.655888,1050625
2.465042,2.327744,1050625
2.533517,2.363683,1050625
2.674963,2.488539,1050625
2.374067,2.372521,1050625
2.753726,2.378679,1050625
2.496577,2.43536,1050625
2.835989,2.57076,1050625
2.839496,2.568068,1050625
2.403987,2.294568,1050625
2.625358,2.300638,1050625
2.522364,2.333722,1050625
2.497557,2.379998,1050625
2.427235,2.428238,1050625
2.569645,2.184453,1050625
2.48779,2.319125,1050625
2.499638,2.336088,1050625
2.767098,3.176551,1050625
2.585836,2.679612,1050625
2.720812,2.319549,1050625
2.822314,2.320042,1050625
2.58555,2.301628,1050625
2.500056,2.316441,1050625
2.455706,2.613819,1050625
2.382593,2.33408,1050625
2.891812,2.331033,1050625
2.648878,2.288779,1050625
2.83,2.304061,1050625
2.781535,2.433568,1050625
2.453347,2.410142,1050625
2.425347,2.446835,1050625
2.918847,2.698317,1050625
2.485132,2.556127,1050625
1.813345,2.181528,1050625
2.445327,2.313277,1050625
2.479603,2.412879,1050625
2.497845,2.470805,1050625
11.684602,9.380348,4198401
13.424015,10.5294,4198401
11.638872,9.800016,4198401
13.393716,9.714714,4198401
11.06941,9.316099,4198401
10.320357,9.057673,4198401
12.821592,9.641381,4198401
11.626203,9.148315,4198401
12.495122,9.580837,4198401
11.448447,9.450783,4198401
11.845136,9.450312,4198401
12.67329,14.267,4198401
10.293922,9.932986,4198401
13.239265,9.446384,4198401
10.230731,9.32816,4198401
11.297456,9.320508,4198401
8.371375,10.00907,4198401
9.680143,9.043243,4198401
11.18732,10.232021,4198401
9.801775,8.701276,4198401
11.597737,9.675863,4198401
13.147296,14.447721,4198401
9.900889,15.066168,4198401
12.217426,10.256347,4198401
13.362015,9.352146,4198401
10.16759,9.064243,4198401
13.367516,9.6038,4198401
12.292071,9.613231,4198401
12.782876,9.675671,4198401
9.883184,9.183,4198401
12.671047,14.266896,4198401
12.874373,10.4979,4198401
10.215837,9.222003,4198401
12.389974,9.226877,4198401
13.427104,10.957253,4198401
12.868721,10.524215,4198401
9.822323,9.116461,4198401
9.474861,8.737754,4198401
13.479911,9.710339,4198401
10.487107,9.492988,4198401
13.017121,9.3243,4198401
12.117814,9.744855,4198401
8.753001,9.133649,4198401
12.99678,10.349218,4198401
10.545901,9.416838,4198401
13.590103,9.748156,4198401
9.915373,10.11481,4198401
11.666772,9.36881,4198401
11.799993,9.596381,4198401
10.995661,8.76908,4198401
