TempoAlocacao,Tempo,Pontos
0.004733,0.181851,16641
0.004827,0.181694,16641
0.00473,0.184952,16641
0.004652,0.183349,16641
0.00468,0.183592,16641
0.004693,0.181914,16641
0.004683,0.183817,16641
0.004659,0.184104,16641
0.004715,0.184751,16641
0.004692,0.182041,16641
0.004696,0.183382,16641
0.004608,0.182238,16641
0.00465,0.181657,16641
0.004679,0.182792,16641
0.00469,0.182319,16641
0.004666,0.184271,16641
0.004676,0.184195,16641
0.004663,0.183275,16641
0.004623,0.182888,16641
0.004631,0.182868,16641
0.004606,0.182872,16641
0.004656,0.181692,16641
0.004667,0.1826,16641
0.004666,0.18252,16641
0.004676,0.182396,16641
0.004671,0.182875,16641
0.004668,0.182534,16641
0.004622,0.183555,16641
0.004628,0.183328,16641
0.004615,0.183551,16641
0.004678,0.183555,16641
0.004671,0.182549,16641
0.004664,0.181389,16641
0.004662,0.182349,16641
0.004667,0.183105,16641
0.00466,0.184667,16641
0.004636,0.18484,16641
0.004637,0.18323,16641
0.004644,0.182482,16641
0.004679,0.182082,16641
0.004656,0.182281,16641
0.004608,0.184336,16641
0.004618,0.18314,16641
0.004622,0.181793,16641
0.00467,0.183306,16641
0.004674,0.182473,16641
0.004634,0.184298,16641
0.004621,0.182674,16641
0.004622,0.181815,16641
0.004632,0.182063,16641
0.016985,0.726096,66049
0.016912,0.724932,66049
0.016904,0.728692,66049
0.016864,0.723036,66049
0.016927,0.728858,66049
0.016897,0.725908,66049
0.016909,0.733823,66049
0.016867,0.725224,66049
0.016917,0.723206,66049
0.016858,0.732637,66049
0.016879,0.72965,66049
0.01688,0.726337,66049
0.01687,0.731863,66049
0.016863,0.726196,66049
0.016819,0.728649,66049
0.016858,0.730732,66049
0.016841,0.728098,66049
0.016866,0.733504,66049
0.016814,0.722515,66049
0.01682,0.725847,66049
0.016882,0.723596,66049
0.01692,0.735554,66049
0.016875,0.735204,66049
0.016907,0.734323,66049
0.016817,0.724458,66049
0.016837,0.722325,66049
0.01686,0.735466,66049
0.016857,0.725519,66049
0.016925,0.734904,66049
0.016802,0.729474,66049
0.016858,0.7247,66049
0.016816,0.729115,66049
0.016893,0.724191,66049
0.016877,0.729127,66049
0.016872,0.734204,66049
0.016885,0.723879,66049
0.016883,0.725173,66049
0.016862,0.724942,66049
0.016894,0.735068,66049
0.016837,0.735513,66049
0.016899,0.729049,66049
0.016909,0.723752,66049
0.016856,0.723699,66049
0.016879,0.735442,66049
0.016858,0.728257,66049
0.016889,0.725753,66049
0.016952,0.725136,66049
0.016847,0.723851,66049
0.016852,0.725004,66049
0.017137,0.7261,66049
0.065155,2.878412,263169
0.064907,2.875492,263169
0.064912,2.915197,263169
0.064987,2.877023,263169
0.064994,2.925127,263169
0.064862,2.926242,263169
0.064989,2.909767,263169
0.065175,2.889962,263169
0.064849,2.922444,263169
0.064859,2.87783,263169
0.064932,2.886932,263169
0.065058,2.878548,263169
0.065013,2.927597,263169
0.064904,2.872632,263169
0.065066,2.899178,263169
0.064829,2.880157,263169
0.064984,2.922681,263169
0.064857,2.876585,263169
0.0649,2.917778,263169
0.064929,2.873091,263169
0.064785,2.909471,263169
0.065066,2.900927,263169
0.064935,2.880832,263169
0.064903,2.911656,263169
0.064917,2.885605,263169
0.064833,2.924163,263169
0.064841,2.872619,263169
0.064969,2.879701,263169
0.06486,2.926323,263169
0.064827,2.882304,263169
0.06486,2.88631,263169
0.064846,2.906205,263169
0.06496,2.894088,263169
0.065079,2.896579,263169
0.064851,2.880862,263169
0.065006,2.884821,263169
0.064938,2.88125,263169
0.064898,2.920793,263169
0.06491,2.880356,263169
0.064858,2.878758,263169
0.064956,2.892644,263169
0.064933,2.925231,263169
0.064928,2.919106,263169
0.064823,2.879633,263169
0.06483,2.885607,263169
0.064972,2.882549,263169
0.06484,2.901583,263169
0.0649,2.885301,263169
0.06492,2.881779,263169
0.064816,2.886462,263169
0.250203,11.529563,1050625
0.249669,11.539975,1050625
0.250232,11.489309,1050625
0.250239,11.557974,1050625
0.250056,11.490784,1050625
0.249822,11.571661,1050625
0.250093,11.484042,1050625
0.250004,11.642949,1050625
0.250134,11.531975,1050625
0.249839,11.514877,1050625
0.249912,11.515179,1050625
0.249967,11.528866,1050625
0.25009,11.50054,1050625
0.249623,11.482981,1050625
0.250353,11.48681,1050625
0.249812,11.516321,1050625
0.249925,11.675731,1050625
0.249915,11.487909,1050625
0.249727,11.467083,1050625
0.250108,11.572138,1050625
0.249807,11.479571,1050625
0.250005,11.519164,1050625
0.250349,11.529396,1050625
0.250101,11.516944,1050625
0.249767,11.523609,1050625
0.249888,11.482013,1050625
0.24999,11.627112,1050625
0.249696,11.569321,1050625
0.249776,11.48943,1050625
0.250125,11.472852,1050625
0.249828,11.630134,1050625
0.250441,11.582442,1050625
0.252022,11.63612,1050625
0.250004,11.486868,1050625
0.249915,11.52039,1050625
0.250106,11.482107,1050625
0.250009,11.523084,1050625
0.250215,11.511039,1050625
0.250451,11.68826,1050625
0.249972,11.472729,1050625
0.249968,11.688518,1050625
0.249798,11.560496,1050625
0.250027,11.643455,1050625
0.250219,11.57691,1050625
0.249645,11.522291,1050625
0.24975,11.504218,1050625
0.250272,11.525031,1050625
0.249505,11.517185,1050625
0.249739,11.487881,1050625
0.250005,11.475624,1050625
0.952305,46.249959,4198401
0.952699,45.889472,4198401
0.950523,46.386281,4198401
0.949033,45.775878,4198401
0.951863,45.8712,4198401
0.951337,45.780089,4198401
0.949939,46.408848,4198401
0.951624,46.463367,4198401
0.950498,46.0363,4198401
0.950806,45.730326,4198401
0.951873,45.838317,4198401
0.951017,45.76936,4198401
0.949988,45.791465,4198401
0.950475,45.962519,4198401
0.950459,46.262264,4198401
0.949469,45.992311,4198401
0.949544,46.043508,4198401
0.949324,46.198455,4198401
0.947708,45.967681,4198401
0.952251,46.368757,4198401
0.950125,46.61269,4198401
0.950924,45.987886,4198401
