16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.009 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.009 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.009 s
16, 16384 ,Linha RoundRobin ,  0.006 s
16, 16384 ,Linha RoundRobin ,  0.006 s
16, 16384 ,Linha RoundRobin ,  0.008 s
16, 16384 ,Linha RoundRobin ,  0.008 s
16, 16384 ,Linha RoundRobin ,  0.006 s
16, 16384 ,Linha RoundRobin ,  0.005 s
16, 16384 ,Linha RoundRobin ,  0.005 s
16, 16384 ,Linha RoundRobin ,  0.009 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.006 s
16, 16384 ,Linha RoundRobin ,  0.009 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.009 s
16, 16384 ,Linha RoundRobin ,  0.008 s
16, 16384 ,Linha RoundRobin ,  0.008 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.010 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.008 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.006 s
16, 16384 ,Linha RoundRobin ,  0.005 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.005 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.006 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.008 s
16, 16384 ,Linha RoundRobin ,  0.005 s
16, 16384 ,Linha RoundRobin ,  0.005 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.006 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.006 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 16384 ,Linha RoundRobin ,  0.007 s
16, 65536 ,Linha RoundRobin ,  0.022 s
16, 65536 ,Linha RoundRobin ,  0.022 s
16, 65536 ,Linha RoundRobin ,  0.023 s
16, 65536 ,Linha RoundRobin ,  0.022 s
16, 65536 ,Linha RoundRobin ,  0.025 s
16, 65536 ,Linha RoundRobin ,  0.020 s
16, 65536 ,Linha RoundRobin ,  0.022 s
16, 65536 ,Linha RoundRobin ,  0.024 s
16, 65536 ,Linha RoundRobin ,  0.028 s
16, 65536 ,Linha RoundRobin ,  0.017 s
16, 65536 ,Linha RoundRobin ,  0.019 s
16, 65536 ,Linha RoundRobin ,  0.021 s
16, 65536 ,Linha RoundRobin ,  0.031 s
16, 65536 ,Linha RoundRobin ,  0.028 s
16, 65536 ,Linha RoundRobin ,  0.021 s
16, 65536 ,Linha RoundRobin ,  0.022 s
16, 65536 ,Linha RoundRobin ,  0.029 s
16, 65536 ,Linha RoundRobin ,  0.021 s
16, 65536 ,Linha RoundRobin ,  0.035 s
16, 65536 ,Linha RoundRobin ,  0.017 s
16, 65536 ,Linha RoundRobin ,  0.019 s
16, 65536 ,Linha RoundRobin ,  0.022 s
16, 65536 ,Linha RoundRobin ,  0.024 s
16, 65536 ,Linha RoundRobin ,  0.031 s
16, 65536 ,Linha RoundRobin ,  0.028 s
16, 65536 ,Linha RoundRobin ,  0.027 s
16, 65536 ,Linha RoundRobin ,  0.022 s
16, 65536 ,Linha RoundRobin ,  0.026 s
16, 65536 ,Linha RoundRobin ,  0.022 s
16, 65536 ,Linha RoundRobin ,  0.025 s
16, 65536 ,Linha RoundRobin ,  0.023 s
16, 65536 ,Linha RoundRobin ,  0.032 s
16, 65536 ,Linha RoundRobin ,  0.025 s
16, 65536 ,Linha RoundRobin ,  0.028 s
16, 65536 ,Linha RoundRobin ,  0.026 s
16, 65536 ,Linha RoundRobin ,  0.028 s
16, 65536 ,Linha RoundRobin ,  0.029 s
16, 65536 ,Linha RoundRobin ,  0.035 s
16, 65536 ,Linha RoundRobin ,  0.026 s
16, 65536 ,Linha RoundRobin ,  0.026 s
16, 65536 ,Linha RoundRobin ,  0.026 s
16, 65536 ,Linha RoundRobin ,  0.020 s
16, 65536 ,Linha RoundRobin ,  0.025 s
16, 65536 ,Linha RoundRobin ,  0.028 s
16, 65536 ,Linha RoundRobin ,  0.021 s
16, 65536 ,Linha RoundRobin ,  0.023 s
16, 65536 ,Linha RoundRobin ,  0.033 s
16, 65536 ,Linha RoundRobin ,  0.023 s
16, 65536 ,Linha RoundRobin ,  0.024 s
16, 65536 ,Linha RoundRobin ,  0.022 s
16, 262144 ,Linha RoundRobin ,  0.072 s
16, 262144 ,Linha RoundRobin ,  0.071 s
16, 262144 ,Linha RoundRobin ,  0.095 s
16, 262144 ,Linha RoundRobin ,  0.066 s
16, 262144 ,Linha RoundRobin ,  0.067 s
16, 262144 ,Linha RoundRobin ,  0.075 s
16, 262144 ,Linha RoundRobin ,  0.070 s
16, 262144 ,Linha RoundRobin ,  0.071 s
16, 262144 ,Linha RoundRobin ,  0.070 s
16, 262144 ,Linha RoundRobin ,  0.068 s
16, 262144 ,Linha RoundRobin ,  0.067 s
16, 262144 ,Linha RoundRobin ,  0.069 s
16, 262144 ,Linha RoundRobin ,  0.075 s
16, 262144 ,Linha RoundRobin ,  0.072 s
16, 262144 ,Linha RoundRobin ,  0.077 s
16, 262144 ,Linha RoundRobin ,  0.072 s
16, 262144 ,Linha RoundRobin ,  0.063 s
16, 262144 ,Linha RoundRobin ,  0.063 s
16, 262144 ,Linha RoundRobin ,  0.070 s
16, 262144 ,Linha RoundRobin ,  0.067 s
16, 262144 ,Linha RoundRobin ,  0.075 s
16, 262144 ,Linha RoundRobin ,  0.074 s
16, 262144 ,Linha RoundRobin ,  0.070 s
16, 262144 ,Linha RoundRobin ,  0.081 s
16, 262144 ,Linha RoundRobin ,  0.083 s
16, 262144 ,Linha RoundRobin ,  0.067 s
16, 262144 ,Linha RoundRobin ,  0.073 s
16, 262144 ,Linha RoundRobin ,  0.073 s
16, 262144 ,Linha RoundRobin ,  0.071 s
16, 262144 ,Linha RoundRobin ,  0.066 s
