1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 16384 ,Linha RoundRobin ,  0.040 s
1, 16384 ,Linha RoundRobin ,  0.039 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.155 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.155 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.155 s
1, 65536 ,Linha RoundRobin ,  0.161 s
1, 65536 ,Linha RoundRobin ,  0.155 s
1, 65536 ,Linha RoundRobin ,  0.155 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.155 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.157 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.155 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.155 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.160 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.157 s
1, 65536 ,Linha RoundRobin ,  0.157 s
1, 65536 ,Linha RoundRobin ,  0.161 s
1, 65536 ,Linha RoundRobin ,  0.160 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.178 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.156 s
1, 65536 ,Linha RoundRobin ,  0.155 s
