TempoAlocacao,Tempo,Particionamento,Nucleos,Pontos
0.003305,0.023322,LinhaRoundRobin,2 sparks,16641
0.002035,0.023474,LinhaRoundRobin,2 sparks,16641
0.00151,0.023014,LinhaRoundRobin,2 sparks,16641
0.003156,0.022097,LinhaRoundRobin,2 sparks,16641
0.003573,0.023058,LinhaRoundRobin,2 sparks,16641
0.003153,0.023131,LinhaRoundRobin,2 sparks,16641
0.001762,0.024101,LinhaRoundRobin,2 sparks,16641
0.003211,0.022047,LinhaRoundRobin,2 sparks,16641
0.001663,0.024108,LinhaRoundRobin,2 sparks,16641
0.001835,0.023401,LinhaRoundRobin,2 sparks,16641
0.001406,0.022504,LinhaRoundRobin,2 sparks,16641
0.003559,0.023161,LinhaRoundRobin,2 sparks,16641
0.001511,0.023509,LinhaRoundRobin,2 sparks,16641
0.001542,0.023928,LinhaRoundRobin,2 sparks,16641
0.001658,0.023391,LinhaRoundRobin,2 sparks,16641
0.001682,0.02336,LinhaRoundRobin,2 sparks,16641
0.001667,0.023287,LinhaRoundRobin,2 sparks,16641
0.003158,0.022133,LinhaRoundRobin,2 sparks,16641
0.003669,0.023154,LinhaRoundRobin,2 sparks,16641
0.003275,0.022993,LinhaRoundRobin,2 sparks,16641
0.001577,0.023943,LinhaRoundRobin,2 sparks,16641
0.001499,0.023085,LinhaRoundRobin,2 sparks,16641
0.001528,0.023113,LinhaRoundRobin,2 sparks,16641
0.00309,0.022101,LinhaRoundRobin,2 sparks,16641
0.00364,0.023097,LinhaRoundRobin,2 sparks,16641
0.003134,0.022049,LinhaRoundRobin,2 sparks,16641
0.003336,0.0233,LinhaRoundRobin,2 sparks,16641
0.003123,0.022111,LinhaRoundRobin,2 sparks,16641
0.003042,0.021959,LinhaRoundRobin,2 sparks,16641
0.001362,0.022384,LinhaRoundRobin,2 sparks,16641
0.003326,0.023242,LinhaRoundRobin,2 sparks,16641
0.003486,0.023127,LinhaRoundRobin,2 sparks,16641
0.003158,0.021961,LinhaRoundRobin,2 sparks,16641
0.00162,0.023406,LinhaRoundRobin,2 sparks,16641
0.003222,0.02297,LinhaRoundRobin,2 sparks,16641
0.002876,0.022889,LinhaRoundRobin,2 sparks,16641
0.001666,0.024266,LinhaRoundRobin,2 sparks,16641
0.003651,0.023007,LinhaRoundRobin,2 sparks,16641
0.001628,0.023301,LinhaRoundRobin,2 sparks,16641
0.003143,0.021897,LinhaRoundRobin,2 sparks,16641
0.003636,0.022942,LinhaRoundRobin,2 sparks,16641
0.001548,0.023962,LinhaRoundRobin,2 sparks,16641
0.001417,0.023073,LinhaRoundRobin,2 sparks,16641
0.003261,0.023217,LinhaRoundRobin,2 sparks,16641
0.003156,0.02202,LinhaRoundRobin,2 sparks,16641
0.003544,0.023093,LinhaRoundRobin,2 sparks,16641
0.001887,0.023456,LinhaRoundRobin,2 sparks,16641
0.003209,0.022016,LinhaRoundRobin,2 sparks,16641
0.003596,0.023227,LinhaRoundRobin,2 sparks,16641
0.003465,0.023019,LinhaRoundRobin,2 sparks,16641
0.001559,0.019876,LinhaRoundRobin,4 sparks,16641
0.001784,0.020653,LinhaRoundRobin,4 sparks,16641
0.001739,0.014199,LinhaRoundRobin,4 sparks,16641
0.001531,0.019701,LinhaRoundRobin,4 sparks,16641
0.004275,0.014448,LinhaRoundRobin,4 sparks,16641
0.006466,0.014581,LinhaRoundRobin,4 sparks,16641
0.001559,0.019677,LinhaRoundRobin,4 sparks,16641
0.001524,0.021395,LinhaRoundRobin,4 sparks,16641
0.001684,0.019553,LinhaRoundRobin,4 sparks,16641
0.003419,0.014283,LinhaRoundRobin,4 sparks,16641
0.001637,0.017564,LinhaRoundRobin,4 sparks,16641
0.001555,0.021126,LinhaRoundRobin,4 sparks,16641
0.003213,0.014294,LinhaRoundRobin,4 sparks,16641
0.0016,0.018245,LinhaRoundRobin,4 sparks,16641
0.005498,0.014042,LinhaRoundRobin,4 sparks,16641
0.001466,0.021096,LinhaRoundRobin,4 sparks,16641
0.00158,0.018572,LinhaRoundRobin,4 sparks,16641
0.001688,0.018262,LinhaRoundRobin,4 sparks,16641
0.001701,0.020014,LinhaRoundRobin,4 sparks,16641
0.00334,0.017237,LinhaRoundRobin,4 sparks,16641
0.003291,0.015179,LinhaRoundRobin,4 sparks,16641
0.001579,0.020309,LinhaRoundRobin,4 sparks,16641
0.003191,0.01713,LinhaRoundRobin,4 sparks,16641
0.002179,0.014382,LinhaRoundRobin,4 sparks,16641
0.001738,0.022052,LinhaRoundRobin,4 sparks,16641
