TempoAlocacao,Tempo,Pontos,Nucleos
0.001177,0.036693,16641,Sequencial
0.000991,0.036527,16641,Sequencial
0.000991,0.036727,16641,Sequencial
0.001149,0.037001,16641,Sequencial
0.001085,0.036712,16641,Sequencial
0.000993,0.036606,16641,Sequencial
0.000994,0.036797,16641,Sequencial
0.00113,0.036803,16641,Sequencial
0.001052,0.03683,16641,Sequencial
0.001144,0.036828,16641,Sequencial
0.001127,0.036825,16641,Sequencial
0.001136,0.036678,16641,Sequencial
0.000991,0.036596,16641,Sequencial
0.001129,0.036787,16641,Sequencial
0.001096,0.036679,16641,Sequencial
0.001131,0.03663,16641,Sequencial
0.001002,0.03665,16641,Sequencial
0.000994,0.036665,16641,Sequencial
0.000989,0.037026,16641,Sequencial
0.001012,0.037149,16641,Sequencial
0.001153,0.036582,16641,Sequencial
0.00113,0.03665,16641,Sequencial
0.00099,0.036555,16641,Sequencial
0.001091,0.036574,16641,Sequencial
0.001045,0.036823,16641,Sequencial
0.000989,0.036666,16641,Sequencial
0.001157,0.03688,16641,Sequencial
0.001128,0.036618,16641,Sequencial
0.000989,0.036747,16641,Sequencial
0.001118,0.03674,16641,Sequencial
0.001022,0.036826,16641,Sequencial
0.001145,0.036702,16641,Sequencial
0.001129,0.036625,16641,Sequencial
0.000991,0.036628,16641,Sequencial
0.001126,0.036602,16641,Sequencial
0.000989,0.03676,16641,Sequencial
0.001119,0.036673,16641,Sequencial
0.001143,0.036666,16641,Sequencial
0.001133,0.036626,16641,Sequencial
0.00099,0.036894,16641,Sequencial
0.001134,0.036597,16641,Sequencial
0.000989,0.036686,16641,Sequencial
0.001147,0.036729,16641,Sequencial
0.001134,0.036683,16641,Sequencial
0.001129,0.036774,16641,Sequencial
0.00099,0.036745,16641,Sequencial
0.001133,0.03665,16641,Sequencial
0.001049,0.037004,16641,Sequencial
0.001108,0.037035,16641,Sequencial
0.001114,0.036651,16641,Sequencial
0.001177,0.036693,16641,Sequencial
0.000991,0.036527,16641,Sequencial
0.000991,0.036727,16641,Sequencial
0.001149,0.037001,16641,Sequencial
0.001085,0.036712,16641,Sequencial
0.000993,0.036606,16641,Sequencial
0.000994,0.036797,16641,Sequencial
0.00113,0.036803,16641,Sequencial
0.001052,0.03683,16641,Sequencial
0.001144,0.036828,16641,Sequencial
0.001127,0.036825,16641,Sequencial
0.001136,0.036678,16641,Sequencial
0.000991,0.036596,16641,Sequencial
0.001129,0.036787,16641,Sequencial
0.001096,0.036679,16641,Sequencial
0.001131,0.03663,16641,Sequencial
0.001002,0.03665,16641,Sequencial
0.000994,0.036665,16641,Sequencial
0.000989,0.037026,16641,Sequencial
0.001012,0.037149,16641,Sequencial
0.001153,0.036582,16641,Sequencial
0.00113,0.03665,16641,Sequencial
0.00099,0.036555,16641,Sequencial
0.001091,0.036574,16641,Sequencial
0.001045,0.036823,16641,Sequencial
0.000989,0.036666,16641,Sequencial
0.001157,0.03688,16641,Sequencial
0.001128,0.036618,16641,Sequencial
0.000989,0.036747,16641,Sequencial
0.001118,0.03674,16641,Sequencial
0.001022,0.036826,16641,Sequencial
0.001145,0.036702,16641,Sequencial
0.001129,0.036625,16641,Sequencial
0.000991,0.036628,16641,Sequencial
0.001126,0.036602,16641,Sequencial
0.000989,0.03676,16641,Sequencial
0.001119,0.036673,16641,Sequencial
0.001143,0.036666,16641,Sequencial
0.001133,0.036626,16641,Sequencial
0.00099,0.036894,16641,Sequencial
0.001134,0.036597,16641,Sequencial
0.000989,0.036686,16641,Sequencial
0.001147,0.036729,16641,Sequencial
0.001134,0.036683,16641,Sequencial
0.001129,0.036774,16641,Sequencial
0.00099,0.036745,16641,Sequencial
0.001133,0.03665,16641,Sequencial
0.001049,0.037004,16641,Sequencial
0.001108,0.037035,16641,Sequencial
0.001114,0.036651,16641,Sequencial
0.001177,0.036693,16641,Sequencial
0.000991,0.036527,16641,Sequencial
0.000991,0.036727,16641,Sequencial
0.001149,0.037001,16641,Sequencial
0.001085,0.036712,16641,Sequencial
0.000993,0.036606,16641,Sequencial
0.000994,0.036797,16641,Sequencial
0.00113,0.036803,16641,Sequencial
0.001052,0.03683,16641,Sequencial
0.001144,0.036828,16641,Sequencial
0.001127,0.036825,16641,Sequencial
0.001136,0.036678,16641,Sequencial
0.000991,0.036596,16641,Sequencial
0.001129,0.036787,16641,Sequencial
0.001096,0.036679,16641,Sequencial
0.001131,0.03663,16641,Sequencial
0.001002,0.03665,16641,Sequencial
0.000994,0.036665,16641,Sequencial
0.000989,0.037026,16641,Sequencial
0.001012,0.037149,16641,Sequencial
0.001153,0.036582,16641,Sequencial
0.00113,0.03665,16641,Sequencial
0.00099,0.036555,16641,Sequencial
0.001091,0.036574,16641,Sequencial
0.001045,0.036823,16641,Sequencial
0.000989,0.036666,16641,Sequencial
0.001157,0.03688,16641,Sequencial
0.001128,0.036618,16641,Sequencial
0.000989,0.036747,16641,Sequencial
0.001118,0.03674,16641,Sequencial
0.001022,0.036826,16641,Sequencial
0.001145,0.036702,16641,Sequencial
0.001129,0.036625,16641,Sequencial
0.000991,0.036628,16641,Sequencial
0.001126,0.036602,16641,Sequencial
0.000989,0.03676,16641,Sequencial
0.001119,0.036673,16641,Sequencial
0.001143,0.036666,16641,Sequencial
0.001133,0.036626,16641,Sequencial
0.00099,0.036894,16641,Sequencial
0.001134,0.036597,16641,Sequencial
0.000989,0.036686,16641,Sequencial
0.001147,0.036729,16641,Sequencial
0.001134,0.036683,16641,Sequencial
0.001129,0.036774,16641,Sequencial
0.00099,0.036745,16641,Sequencial
0.001133,0.03665,16641,Sequencial
0.001049,0.037004,16641,Sequencial
0.001108,0.037035,16641,Sequencial
0.001114,0.036651,16641,Sequencial
0.001177,0.036693,16641,Sequencial
0.000991,0.036527,16641,Sequencial
0.000991,0.036727,16641,Sequencial
0.001149,0.037001,16641,Sequencial
0.001085,0.036712,16641,Sequencial
0.000993,0.036606,16641,Sequencial
0.000994,0.036797,16641,Sequencial
0.00113,0.036803,16641,Sequencial
0.001052,0.03683,16641,Sequencial
0.001144,0.036828,16641,Sequencial
0.001127,0.036825,16641,Sequencial
0.001136,0.036678,16641,Sequencial
0.000991,0.036596,16641,Sequencial
0.001129,0.036787,16641,Sequencial
0.001096,0.036679,16641,Sequencial
0.001131,0.03663,16641,Sequencial
0.001002,0.03665,16641,Sequencial
0.000994,0.036665,16641,Sequencial
0.000989,0.037026,16641,Sequencial
0.001012,0.037149,16641,Sequencial
0.001153,0.036582,16641,Sequencial
0.00113,0.03665,16641,Sequencial
0.00099,0.036555,16641,Sequencial
0.001091,0.036574,16641,Sequencial
0.001045,0.036823,16641,Sequencial
0.000989,0.036666,16641,Sequencial
0.001157,0.03688,16641,Sequencial
0.001128,0.036618,16641,Sequencial
0.000989,0.036747,16641,Sequencial
0.001118,0.03674,16641,Sequencial
0.001022,0.036826,16641,Sequencial
0.001145,0.036702,16641,Sequencial
0.001129,0.036625,16641,Sequencial
0.000991,0.036628,16641,Sequencial
0.001126,0.036602,16641,Sequencial
0.000989,0.03676,16641,Sequencial
0.001119,0.036673,16641,Sequencial
0.001143,0.036666,16641,Sequencial
0.001133,0.036626,16641,Sequencial
0.00099,0.036894,16641,Sequencial
0.001134,0.036597,16641,Sequencial
0.000989,0.036686,16641,Sequencial
0.001147,0.036729,16641,Sequencial
0.001134,0.036683,16641,Sequencial
0.001129,0.036774,16641,Sequencial
0.00099,0.036745,16641,Sequencial
0.001133,0.03665,16641,Sequencial
