Alocacao,Tempo,Linguagem,Nucleos

0,10.202,Ansi C,1
0,9.879,Ansi C,1
0,9.879,Ansi C,1
0,9.880,Ansi C,1
0,9.881,Ansi C,1
0,9.877,Ansi C,1
0,9.878,Ansi C,1
0,9.881,Ansi C,1
0,9.883,Ansi C,1
0,9.883,Ansi C,1
0,9.883,Ansi C,1
0,9.884,Ansi C,1
0,9.877,Ansi C,1
0,9.882,Ansi C,1
0,10.204,Ansi C,1
0,9.885,Ansi C,1
0,9.886,Ansi C,1
0,9.901,Ansi C,1
0,9.879,Ansi C,1
0,9.879,Ansi C,1
0,10.198,Ansi C,1
0,9.899,Ansi C,1
0,9.884,Ansi C,1
0,9.883,Ansi C,1
0,9.883,Ansi C,1
0,9.884,Ansi C,1
0,9.882,Ansi C,1
0,9.885,Ansi C,1
0,9.882,Ansi C,1
0,9.881,Ansi C,1
0,9.881,Ansi C,1
0,9.881,Ansi C,1
0,9.882,Ansi C,1
0,9.883,Ansi C,1
0,9.890,Ansi C,1
0,9.892,Ansi C,1
0,9.880,Ansi C,1
0,9.878,Ansi C,1
0,9.900,Ansi C,1
0,9.880,Ansi C,1
0,10.199,Ansi C,1
0,9.883,Ansi C,1
0,9.883,Ansi C,1
0,9.883,Ansi C,1
0,9.881,Ansi C,1
0,9.880,Ansi C,1
0,9.880,Ansi C,1
0,9.882,Ansi C,1
0,9.881,Ansi C,1
0,10.201,Ansi C,1
0,5.039,Ansi C,2
0,5.040,Ansi C,2
0,5.039,Ansi C,2
0,5.046,Ansi C,2
0,5.054,Ansi C,2
0,5.043,Ansi C,2
0,5.047,Ansi C,2
0,5.204,Ansi C,2
0,5.201,Ansi C,2
0,5.058,Ansi C,2
0,5.039,Ansi C,2
0,5.041,Ansi C,2
0,5.040,Ansi C,2
0,5.040,Ansi C,2
0,5.039,Ansi C,2
0,5.045,Ansi C,2
0,5.040,Ansi C,2
0,5.041,Ansi C,2
0,5.202,Ansi C,2
0,5.039,Ansi C,2
0,5.041,Ansi C,2
0,5.040,Ansi C,2
0,5.040,Ansi C,2
0,5.039,Ansi C,2
0,5.038,Ansi C,2
0,5.039,Ansi C,2
0,5.039,Ansi C,2
0,5.038,Ansi C,2
0,5.041,Ansi C,2
0,5.040,Ansi C,2
0,5.040,Ansi C,2
0,5.041,Ansi C,2
0,5.039,Ansi C,2
0,5.038,Ansi C,2
0,5.039,Ansi C,2
0,5.040,Ansi C,2
0,5.203,Ansi C,2
0,5.041,Ansi C,2
0,5.064,Ansi C,2
0,5.049,Ansi C,2
0,5.037,Ansi C,2
0,5.196,Ansi C,2
0,5.038,Ansi C,2
0,5.038,Ansi C,2
0,5.039,Ansi C,2
0,5.039,Ansi C,2
0,5.038,Ansi C,2
0,5.038,Ansi C,2
0,5.040,Ansi C,2
0,5.038,Ansi C,2
0,2.613,Ansi C,4
0,2.698,Ansi C,4
0,2.613,Ansi C,4
0,2.614,Ansi C,4
0,2.613,Ansi C,4
0,2.614,Ansi C,4
0,2.613,Ansi C,4
0,2.613,Ansi C,4
0,2.612,Ansi C,4
0,2.614,Ansi C,4
0,2.612,Ansi C,4
0,2.691,Ansi C,4
0,2.614,Ansi C,4
0,2.613,Ansi C,4
0,2.614,Ansi C,4
0,2.618,Ansi C,4
0,2.613,Ansi C,4
0,2.612,Ansi C,4
0,2.614,Ansi C,4
0,2.613,Ansi C,4
0,2.613,Ansi C,4
0,2.614,Ansi C,4
0,2.615,Ansi C,4
0,2.614,Ansi C,4
0,2.613,Ansi C,4
0,2.694,Ansi C,4
0,2.613,Ansi C,4
0,2.613,Ansi C,4
0,2.690,Ansi C,4
0,2.612,Ansi C,4
0,2.616,Ansi C,4
0,2.616,Ansi C,4
0,2.691,Ansi C,4
0,2.612,Ansi C,4
0,2.611,Ansi C,4
0,2.613,Ansi C,4
0,2.612,Ansi C,4
0,2.614,Ansi C,4
0,2.616,Ansi C,4
0,2.613,Ansi C,4
0,2.694,Ansi C,4
0,2.612,Ansi C,4
0,2.613,Ansi C,4
0,2.615,Ansi C,4
0,2.613,Ansi C,4
0,2.616,Ansi C,4
0,2.611,Ansi C,4
0,2.612,Ansi C,4
0,2.618,Ansi C,4
0,2.614,Ansi C,4
0,1.418,Ansi C,8
0,1.451,Ansi C,8
0,1.417,Ansi C,8
0,1.460,Ansi C,8
0,1.412,Ansi C,8
0,1.412,Ansi C,8
0,1.413,Ansi C,8
0,1.417,Ansi C,8
0,1.412,Ansi C,8
0,1.416,Ansi C,8
0,1.413,Ansi C,8
0,1.415,Ansi C,8
0,1.413,Ansi C,8
0,1.422,Ansi C,8
0,1.457,Ansi C,8
0,1.413,Ansi C,8
0,1.412,Ansi C,8
0,1.416,Ansi C,8
0,1.418,Ansi C,8
0,1.415,Ansi C,8
0,1.416,Ansi C,8
0,1.415,Ansi C,8
0,1.411,Ansi C,8
0,1.412,Ansi C,8
0,1.413,Ansi C,8
