TempoAlocacao,Tempo,Particionamento,Nucleos
0.67107,6.65589,LinhaNormal,2
0.675058,6.655202,LinhaNormal,2
0.582764,6.189837,LinhaNormal,2
0.67767,6.275871,LinhaNormal,2
0.661569,6.825527,LinhaNormal,2
0.581884,5.966767,LinhaNormal,2
0.668448,6.271515,LinhaNormal,2
0.583733,5.968602,LinhaNormal,2
0.67976,6.711125,LinhaNormal,2
0.676935,6.753706,LinhaNormal,2
0.677449,6.912732,LinhaNormal,2
0.669762,6.275119,LinhaNormal,2
0.668802,6.747973,LinhaNormal,2
0.585968,6.289854,LinhaNormal,2
0.586715,5.963821,LinhaNormal,2
0.672046,6.891454,LinhaNormal,2
0.666687,6.836698,LinhaNormal,2
0.674566,6.279448,LinhaNormal,2
0.670752,6.829712,LinhaNormal,2
0.689249,6.775751,LinhaNormal,2
0.584598,5.978028,LinhaNormal,2
0.682211,6.332375,LinhaNormal,2
0.679534,6.31902,LinhaNormal,2
0.668322,6.84928,LinhaNormal,2
0.679165,6.793993,LinhaNormal,2
0.58388,5.983253,LinhaNormal,2
0.58467,6.215119,LinhaNormal,2
0.585797,5.97847,LinhaNormal,2
0.664396,6.86231,LinhaNormal,2
0.663167,6.26656,LinhaNormal,2
0.675457,6.807909,LinhaNormal,2
0.674138,6.276209,LinhaNormal,2
0.583874,6.251167,LinhaNormal,2
0.665393,6.314926,LinhaNormal,2
0.670986,6.757114,LinhaNormal,2
0.668578,6.327643,LinhaNormal,2
0.585212,5.972029,LinhaNormal,2
0.674904,6.64749,LinhaNormal,2
0.674347,6.288827,LinhaNormal,2
0.662829,6.736587,LinhaNormal,2
0.585051,5.980672,LinhaNormal,2
0.67897,6.729418,LinhaNormal,2
0.584237,5.970178,LinhaNormal,2
0.671737,6.82216,LinhaNormal,2
0.67229,6.277313,LinhaNormal,2
0.67171,6.273337,LinhaNormal,2
0.679799,6.894503,LinhaNormal,2
0.671042,6.847139,LinhaNormal,2
0.66508,6.293125,LinhaNormal,2
0.682209,6.81,LinhaNormal,2
0.418047,5.163215,LinhaNormal,4
0.38115,5.445235,LinhaNormal,4
0.358188,5.607792,LinhaNormal,4
0.406264,5.39339,LinhaNormal,4
0.305636,5.296317,LinhaNormal,4
0.516771,5.074634,LinhaNormal,4
0.401631,5.50058,LinhaNormal,4
0.487599,5.117289,LinhaNormal,4
0.373129,5.231846,LinhaNormal,4
0.543726,5.077818,LinhaNormal,4
0.474406,5.080807,LinhaNormal,4
0.500523,5.542051,LinhaNormal,4
0.378553,5.626211,LinhaNormal,4
0.489246,5.217757,LinhaNormal,4
0.501498,5.034294,LinhaNormal,4
0.516158,5.048488,LinhaNormal,4
0.388184,5.249466,LinhaNormal,4
0.397326,5.751203,LinhaNormal,4
0.358247,5.357943,LinhaNormal,4
0.360025,5.483264,LinhaNormal,4
0.426229,5.478996,LinhaNormal,4
0.479062,5.024171,LinhaNormal,4
0.383982,5.606551,LinhaNormal,4
0.359146,5.517267,LinhaNormal,4
0.373759,5.324342,LinhaNormal,4
0.500997,5.016717,LinhaNormal,4
0.521939,5.077832,LinhaNormal,4
0.38417,5.320054,LinhaNormal,4
0.390604,5.147043,LinhaNormal,4
0.514377,5.097298,LinhaNormal,4
0.396152,5.403418,LinhaNormal,4
0.40279,5.379593,LinhaNormal,4
0.400031,4.896429,LinhaNormal,4
0.487731,5.069097,LinhaNormal,4
0.501026,5.102961,LinhaNormal,4
0.402579,4.901114,LinhaNormal,4
0.493732,5.802704,LinhaNormal,4
0.39484,4.940767,LinhaNormal,4
0.50373,5.0554,LinhaNormal,4
0.38728,5.391302,LinhaNormal,4
0.383869,5.300935,LinhaNormal,4
0.510896,5.035576,LinhaNormal,4
0.742934,5.098444,LinhaNormal,4
0.545663,5.066593,LinhaNormal,4
0.373953,5.409792,LinhaNormal,4
0.523236,5.072644,LinhaNormal,4
0.516718,5.069286,LinhaNormal,4
0.393412,5.527454,LinhaNormal,4
0.497967,5.082411,LinhaNormal,4
0.494932,5.040455,LinhaNormal,4
